MsgFriendAdd#0,"""$(0) เป็นเพื่อนกับท่านแล้ว"""
MsgJoinEnable#0,"""ตอนนี้ท่านสามารถเชิญ $(0)"""
MsgJoinDisable#0,"""ท่านไม่สามารถเชิญ $(0)"""
MsgErrorExsit#0,"""$(0) อยู่กับผู้เล่นอื่น"""
MsgErrorNoExsit#0,"""$(0) ได้กลับไปหรืออยู่กับผู้เล่นอื่น"""
MsgErrorFullParty#0,"""ท่านไม่สามารถเชิญ partner ได้เพราะปาร์ตี้เต็ม"""
MsgErrorFullRoom#0,"""ท่านไม่สามารถเชิญ partner ได้เพราะถึงจำนวนที่กำหนดสำหรับเควส"""
MsgErrorFullEvent#0,"""ท่านไม่สามารถเข้าร่วมได้เพราะคนเกิน"""
MsgErrorSystem#0,"""ท่านไม่สามารถเชิญ partner ได้ เพราะยังไม่เคยเพิ่มหรือพวกเขาทั้งหมดลบทิ้งไปแล้ว"""
MsgErrorLoadApcList#0,"""ล้มเหลวในการเชิญ partner"""
MsgErrorRegisterFriendApc#0,"""ล้มเหลวในการเพิ่ม friend partner"""
MsgRegisterFriendApc#0,"""เพิ่ม friend partner"""
MsgDeleteFriendApc#0,"""ลบ friend partner"""
MsgErrorDeleteFriendApc#0,"""ล้มเหลวในการลบ friend partner"""
MsgErrorNotRegisterFriendApc#0,"""ไม่มีการเพิ่ม friend partner"""
MsgFriendAdd#1,"""$(0)がパートナーに加わりました。"""
MsgJoinEnable#1,"""$(0)を呼び出せるようになりました。"""
MsgJoinDisable#1,"""$(0)を呼び出せなくなりました。"""
MsgErrorExsit#1,"""$(0)は、すでにクエスト内の別のプレイヤーが呼び出しています。"""
MsgErrorNoExsit#1,"""$(0)は、すでに帰還しているか、別のプレイヤーが呼び出しています。"""
MsgErrorFullParty#1,"""パーティーメンバー数上限のため、呼び出すことができません。"""
MsgErrorFullRoom#1,"""クエストの参加人数上限のため、呼び出すことができません。"""
MsgErrorFullEvent#1,"""人数上限のため、参加できませんでした。"""
MsgErrorSystem#1,"""パートナー登録が存在しないか、削除されているため、呼び出せませんでした。"""
MsgErrorLoadApcList#1,"""パートナーの呼び出しに失敗しました。"""
MsgErrorRegisterFriendApc#1,"""フレンドパートナーの登録に失敗しました。"""
MsgRegisterFriendApc#1,"""フレンドパートナーの登録が完了しました。"""
MsgDeleteFriendApc#1,"""フレンドパートナーの登録を削除しました。"""
MsgErrorDeleteFriendApc#1,"""フレンドパートナーの登録の削除に失敗しました。"""
MsgErrorNotRegisterFriendApc#1,"""フレンドパートナーが登録されていません。"""
Brave#0,"""กล้าหาญ"""
Poser#0,"""กล้าแสดงออก"""
Shy#0,"""ขี้อาย"""
Leader#0,"""ผู้นำ"""
Donkey#0,"""ซุ่มซ่าม"""
Senior#0,"""ไว้ใจได้"""
Sickly#0,"""บอบบาง"""
Daredevil#0,"""บ้าบิ่น"""
Innocence#0,"""ไร้เดียงสา"""
Blonde#0,"""เป็นธรรมชาติ"""
Intellectual#0,"""ฉลาด"""
Brave#1,"""勇者気質"""
Poser#1,"""目立ちたがり"""
Shy#1,"""引っ込み思案"""
Leader#1,"""リーダーシップ"""
Donkey#1,"""ドジっこ"""
Senior#1,"""先輩肌"""
Sickly#1,"""病弱"""
Daredevil#1,"""命知らず"""
Innocence#1,"""天真爛漫"""
Blonde#1,"""天然"""
Intellectual#1,"""理知的"""
Hypotension#0,"""Early Bird"""
Night#0,"""Night Owl"""
Sun#0,"""Sun Lover"""
Cloud#0,"""Cloud Chaser"""
EnemyLarge#0,"""Big Game Hunter"""
EnemySmall#0,"""Small Game Hunter"""
Pinch#0,"""Underdog"""
Loonie#0,"""Slow Starter"""
Lonely#0,"""Lonesome"""
DarkerKiller#0,"""D-arkers Hunter"""
NativeKiller#0,"""Native Hunter"""
MachineKiller#0,"""Mech Hunter"""
DragonKiller#0,"""Dragorii Hunter"""
ChimeraKiller#0,"""Oceanid Hunter"""
Tsundere#0,"""Hot-Cold Personality"""
Hypotension#1,"""朝型"""
Night#1,"""夜型"""
Sun#1,"""晴れ好き"""
Cloud#1,"""曇り好き"""
EnemyLarge#1,"""大型狙い"""
EnemySmall#1,"""小型狙い"""
Pinch#1,"""逆境好き"""
Loonie#1,"""スロースターター"""
Lonely#1,"""さびしがり屋"""
DarkerKiller#1,"""ダーカー狙い"""
NativeKiller#1,"""原生狙い"""
MachineKiller#1,"""メカ狙い"""
DragonKiller#1,"""龍族狙い"""
ChimeraKiller#1,"""海王種狙い"""
Tsundere#1,"""ツンデレ"""
Healing#0,"""Reviver"""
Valor#0,"""Valiant"""
Guardian#0,"""Defensive"""
Meddler#0,"""Raging"""
Savior#0,"""Savior"""
FavHuman#0,"""Humanist"""
FavCast#0,"""Castist"""
