TrialName_1Enemy#0,"""$(0) Subjugation"""
TrialName_1Enemy_normal#0,"""Enemy Subjugation"""
TrialBeginMsg_1Enemy#0,"""Defeat the $(0) that has appeared!"""
TrialBeginMsg_1Enemy_?????#0,"""Defeat the ????? that has appeared!"""
TrialAbstract_1Enemy#0,"""Defeat the $(0)"""
TrialAbstract_1Enemy_?????#0,"""Defeat the ?????"""
TrialName_Multi#0,"""Enemy Subjugation"""
TrialBeginMsg_Multi#0,"""Defeat the enemies that have appeared!"""
TrialAbstract_Multi#0,"""Defeat the enemies"""
NpcComOnBegin#0,"""大変です！\u3000こんなところに、強力なエネミーが……!?<br>至急、対処をお願いします！"""
NpcComOnSuccess#0,"""エネミーが撤退したようです！<br>追いかけて、討伐しましょう！"""
