st_042082_0010#0,"""很好，成功進來了。<br>身體看起來也沒有異常……欸！"""
st_042082_0020#0,"""怎……怎、怎麼回事！？<br>這形象不完完全全就是我自己嘛！<br>而且還光著腳！"""
st_042082_0030#0,"""等等啊，我一開始捏的那個虛擬形象呢！？<br>就剛開始玩PSO2的時候捏的那個！<br>跟阿有長得差不多的那個我呢……？"""
st_042082_0040#0,"""……難不成，是因為我的那個形象<br>被阿有給拿走了？"""
st_042082_0050#0,"""可就算這樣，為什麼<br>我擺著一副自己的樣貌就進來了啊……！<br>至少也彈個警告出來嘛！"""
st_042082_0060#0,"""咦……莫非，你是火継？"""
st_042082_0070#0,"""啊，冰莉……"""
st_042082_0080#0,"""怎麼啦，這是你的新虛擬形象？<br>竟然跟現實一模一樣，好少見呀。<br>奇怪，有過這樣的衣服麼？"""
st_042082_0090#0,"""啊，那個，這個嘛……<br>怎麼說好呢，這個是……"""
st_042082_0100#0,"""火継？"""
st_042082_0110#0,"""嗚哇！？通、通訊？<br>我記得，你好像是雪拉吧？"""
st_042082_0120#0,"""沒錯，我是雪拉。<br>火継小姐，看你這麼有精神真是太好啦。"""
st_042082_0130#0,"""你有空過來稍微聊聊嗎？<br><%me>也在這邊……"""
st_042082_0140#0,"""……恩。<br>正好我也有想問的事情。"""
st_042082_0150#0,"""抱歉，冰莉。<br>我剛好有事情要處理<br>下次再說吧。"""
st_042082_0160#0,"""啊，好。"""
