SetMessage1#0,"""處於鎖定状態的糖果無法壓縮。"""
SetMessage2#0,"""已經壓縮到極限了，<br>無法繼續壓縮。"""
CompressMessage#0,"""開始壓縮。<br>確定麼？<br><br>※使用輔助道具的話，<br>　可以提高成功機率。"""
CompressMessage_v#0,"""開始壓縮。確定麼？<br>※使用輔助道具的話、<br>  可以提高成功機率。"""
CompressResultMessage1#0,"""圧縮<green>成功<c>了。"""
CompressResultMessage2#0,"""圧縮<red>失敗<c>了。"""
CompressSize#0,"""尺寸"""
CompressSizeNumber#0,"""$(0)x$(1)"""
CompressItemCandy#0,"""從背包選擇糖果壓縮"""
CompressCandyBoxCandy#0,"""從糖果盒子選擇糖果壓縮"""
CompressCompareTitle#0,"""糖果圧縮内容"""
CompressErrorMessage1#0,"""持有金額不足。"""
CompressErrorMessage2#0,"""$(0)不足。"""
CompressTypeSelectTitle#0,"""選擇圧縮對象"""
CompareMessage#0,"""<yellow>必要$(1)数：$(2) （現在：$(0)）<br>必要美賽達：$(4) （現在：$(3)）<c>"""
CompressNoSupport1Item#0,"""不使用"""
CompressSuccessRateMessage1#0,"""<green>確保<c>"""
CompressSuccessRateMessage2#0,"""<c 00ffff>安全<c>"""
CompressSuccessRateMessage3#0,"""<yellow>注意<c>"""
CompressSuccessRateMessage4#0,"""<red>危険<c>"""
CompressSuccessRateMessage5#0,"""<red>危険<c>"""
CompressSuccessRate#0,"""成功機率"""
SetErrorMessage#0,"""已經壓縮到極限了，<br>無法繼續壓縮。"""
CompressBackpackErrorMessage#0,"""道具背包剩餘容量不足，<br>或者所持數已超過上限，<br>未能壓縮。 """
CompressReturnButton#0,"""返回"""
FullSizeTitle#0,"""寵物實驗室"""
Info_PetLabo#0,"""<c f0df60>可以將糖果壓縮變小、或者進化寵物的稀有度。<c>"""
Info_CandyFromPet#0,"""<c f0df60>可以壓縮糖果盒子裡的糖果。首先請選擇糖果盒子。<c>"""
Info_CandyFromItem#0,"""<c f0df60>請選擇想壓縮的糖果。（不顯示無法繼續壓縮的糖果）<c>"""
Info_CandyCheck#0,"""<c f0df60>這是糖果壓縮的最終確認界面。<c>"""
Info_Rename#0,"""<c f0df60>請選擇想變更名字的寵物。<c>"""
Info_Inheritance_PetList#0,"""<c f0df60>使用稀有度高的寵物蛋可以提高現在的寵物的稀有度。請選擇寵物。<c>"""
Info_Inheritance_EggList#0,"""<c f0df60>請選擇同種或者上位種＆同等或以上稀有度的寵物蛋。寵物蛋在<c ff4f3f>操作過後將會消失。<c>"""
Info_Inheritance_AbilityList#0,"""<c f0df60>繼承本來的「性格」還是新寵物蛋的？　根據性格不同戰鬥性能也會變化。<c>"""
Info_Inheritance_Confirmation#0,"""<c f0df60>這是稀有度進化的最終確認界面。<c>"""
info_SelectCompressType#0,"""<c f0df60>壓縮後糖果的尺寸變小、<c ff4f3f>所以就可以<c f0df60>設置更多糖果。<c>"""
info_ReverseEgg#0,"""<c f0df60>可以保留經驗值和附加值，就這樣將寵物還原到寵物蛋。<c>"""
Compare_Title#0,"""稀有度進化情報"""
Compare_Rarity#0,"""稀有度"""
Title#0,"""寵物實驗室菜單"""
Item_Candy#0,"""糖果圧縮"""
Item_Rename#0,"""寵物名字変更"""
Item_Inheritance#0,"""寵物的稀有度進化"""
Item_Back#0,"""把寵物變回寵物蛋"""
Item_Release#0,"""界限解放"""
Item_Goods#0,"""寵物用品商店"""
Item_Warehouse#0,"""打開倉庫"""
Item_Exit#0,"""退出寵物實驗室"""
Error_Title#0,"""寵物實驗室"""
Info_Title#0,"""寵物實驗室"""
Info_Message_Unregister#0,"""有選擇處於鎖定状態的道具。<br>確定麼？"""
Error_Candy_List_Empty#0,"""沒有可被壓縮的糖果。"""
Error_Pet_List_Empty#0,"""沒有寵物。"""
Message_Title#0,"""稀有度進化"""
Inheritance_Message#0,"""開始稀有度進化。<br>確定麼？"""
Inheritance_Message_Reinforce#0,"""開始稀有度進化。<br>確定麼？<br><br><red>※如果選擇了上位種的寵物蛋的話。<br>　進行了稀有度進化之後無法回到原來的種族。<c><br><br><yellow>※如果是裝備中的寵物進化成了上位種的時候<br>　會取下設置好了的PA。<c>"""
Inheritance_Result_OK#0,"""稀有度進化成功了。"""
Inheritance_Result_NG#0,"""稀有度進化失敗了。"""
Inheritance_Result_Reinforce#0,"""$(0)通過稀有度進化進化到了$(1)種。"""
Inheritance_Error_NoItem1#0,"""未持有符合條件的寵物蛋。<br>可能道具已被鎖定<br>或是沒有與被選為「對象」的寵物<br>擁有<yellow>相同種族<c>與<br><yellow>相同或以上稀有度<c>的寵物蛋。"""
Inheritance_Error_NoItem2#0,"""未持有符合條件的寵物蛋。<br>沒有與被選為「對象」的寵物<br>擁有<yellow>相同種族<c>與<br><yellow>相同或以上稀有度<c>的寵物蛋。"""
Inheritance_Error_NoItem3#0,"""未持有符合條件的寵物蛋。<br>可能道具已被鎖定<br>或是沒有與被選為「對象」的寵物<br>擁有<yellow>相同種族<c>與<br><yellow>相同或以上稀有度<c>的寵物蛋。"""
Inheritance_Title#0,"""向上位種寵物進化的確認"""
Inheritance_Change_Message#0,"""已選擇上位種寵物。<br><red>一旦進化為上位種寵物就無法回到原來的種族了。<c><br><br>確定麼？"""
Inheritance_Change_Reinforce#0,"""上位種ペットが選択されています。<br><red>上位種ペットに進化させると元のペットに戻せません。<c>"""
Inheritance_Change_Color#0,"""<yellow>色違いのエッグが選択されているため、<br>ペットのカラーが変更されます。<c>"""
Inheritance_Change_Confirm#0,"""よろしいですか？"""
Inheritance_Confirm_Message#0,"""開始稀有度進化。<br>確定麼？"""
Inheritance_Confirm_Reinforce#0,"""<red>※上位種のエッグが選択されています。<br>\u3000レアリティ進化を行うと元の種族に戻せなくなります。<c><br><yellow>※装備中のペットを上位種に進化させた場合<br>\u3000セットされているPAが外れます。<c>"""
Inheritance_Confirm_Color#0,"""<yellow>※色違いのエッグが選択されているため、<br>\u3000ペットのカラーが変更されます。<c>"""
Message_Title#1,"""把寵物變回寵物蛋"""
Warning_Message#0,"""以下的道具和效果全都會被刪除。<br><red>寵物蛋合成：已充值的合成次数<c><br><red>糖果盒子：已設置的糖果<c><br><red>糖果盒子：已刪除的奈糖方塊<c><br>確定麼？"""
Warning_Rarity#0,"""已設置的糖果中含有<br>稀有度$(0)或以上的糖果。<br>真的要進行操作麼？"""
FinalConfirm_Message#0,"""寵物『$(2)』變回寵物蛋。<br>確定麼？<br>※<yellow>會進行<c>所有者登録、無法和其他玩家<br>進行交易。<br><br><red>※以下的道具和效果全都會被刪除<br>合成可能回数變成0。<c><br>剩餘<br>設置中的糖果數：$(0)<pict pet_stone_yellow>合成可能次数：$(1)<br>已刪除的全部奈糖方塊"""
Result#0,"""寵物變回了寵物蛋。"""
ReverseEggBackpackErrorMessage#0,"""道具背包剩餘容量不足、<br>或者所持數已超過上限、<br>未能變回寵物蛋。"""
FinalConfirm_GuideBar#0,"""<c f0df60>這是變化寵物蛋的最終確認界面。<c>"""
