ssc_502070_0010#0,"""あなたも来ていたのね。"""
ssc_502070_0020#0,"""ライサスは、<br>このクヴァリスの復興に生涯をかけてとりくんでいた。"""
ssc_502070_0030#0,"""日夜、雪と氷に閉ざされた各地を巡り、<br>“なにが起きたのか”を探ろうとしていた。"""
ssc_502070_0040#0,"""かつてのダークファルスとの戦い、<br>そのなかで起きた急速な環境変化……。"""
ssc_502070_0050#0,"""膨大な調査データが、ロッジの書斎や、<br>ロストセントラルの端末に遺されていたわ。"""
ssc_502070_0060#0,"""とくに、ロストセントラルには、<br>シティの現状をまとめた資料のほかに……。"""
ssc_502070_0070#0,"""シティの機能を回復するための<br>プランがまとめられていた。"""
ssc_502070_0080#0,"""“ロストセントラル”ではなく、<br>“最初のセントラルシティ”としての姿を取り戻すために。"""
ssc_502070_0090#0,"""彼の意志は、<br>これからもイルマたちが引き継いでいくのだと思う。"""
ssc_502070_0100#0,"""どれくらいの時間がかかるのかは、<br>わからないけれど。"""
ssc_502070_0110#0,"""そして、もうひとつ……。"""
ssc_502070_0120#0,"""ライサスのレポートのなかには、<br>セントラルキャノンのデータも含まれていたの。"""
ssc_502070_0130#0,"""クヴァリスのアークスも、<br>ダークファルスの迎撃に、あのキャノンを使用していた。"""
ssc_502070_0140#0,"""記録によれば、ほぼ100％の出力と、<br>動作の安定性が確保されていたようね。"""
ssc_502070_0150#0,"""……書斎にあったセントラルキャノンの<br>不完全なレポート。"""
ssc_502070_0160#0,"""それを、イルマが見つけたのが、<br>今回のことの始まり。"""
ssc_502070_0170#0,"""イルマは、レポートをクロフォードに共有して、<br>意見を交わすかたわらで、独自に研究も進めていた。"""
ssc_502070_0180#0,"""その過程で、ロストセントラルに<br>さらなるデータが残っていることに気づいて……。"""
ssc_502070_0190#0,"""あとは、あなたも知っているとおりね。"""
ssc_502070_0200#0,"""今回、完全なデータが手に入ったことで、<br>セントラルキャノンの改良はさらに進むでしょう。"""
ssc_502070_0210#0,"""……ライサスもまた、<br>よりよい未来を築くことに心血を注いでいた。"""
ssc_502070_0220#0,"""すごい人だったんだね。"""
ssc_502070_0230#0,"""その想いは、自分たちが引き継いでいく。"""
ssc_502070_0240#0,"""そうね……。<br>ハルファには、すばらしい人がたくさんいるわ。"""
ssc_502070_0250#0,"""ええ。<br>そうね……。"""
ssc_502070_0260#0,"""みんな、一生懸命に生きてる。"""
ssc_502070_0270#0,"""自分のためだけでなく、<br>仲間のために。"""
ssc_502070_0280#0,"""あなたたちと各地を巡って、<br>いろいろな人たちと出会った。"""
ssc_502070_0290#0,"""それぞれの立場が違っても、<br>その想いだけはみんなに共通していた。"""
ssc_502070_0300#0,"""……ハルファの人々のために、<br>私ができること……。"""
ssc_502070_0310#0,"""今は、それを考え続けているわ。"""
