Title#0,"""大海に顕れし鋼鉄の巨艦"""
Explanation#0,"""惑星・地球の日本近海において<br>巨大幻創種の反応が再発生した。<br>その反応は以前よりもはるかに強力であり<br>本任務の遂行には多大な危険を伴うことが<br>推測される。そのため、本任務の出撃は<br>実績あるアークスに限定する。<br>――――――――――――――――――――<br>クエストクリア可能回数/1回<br>ランキング期間/任務発生から1時間30分<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""幻創戦艦・大和を撃退せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
NpcComMsg1#0,"""再出現した目標は都市部に向けて<br>すでに移動を開始しています。<br>あまり時間の猶予はありません。"""
NpcComMsg2#0,"""再度A.I.Sにて出撃し<br>目標の撃退をお願いします。<br>連戦となりますが、お気をつけて。"""
Area0S#0,"""日本近海"""
Area0L#0,"""惑星・地球\u3000日本近海"""
Area1S#0,"""日本近海"""
Area1L#0,"""惑星・地球\u3000日本近海"""
