un_020040_0010#0,"""อ๋า โผล่มาได้จังหวะ<br>เหมาะพอดีเลยนะคะ<br>ดีใจจังเลยค่ะ คิกคิก"""
un_020040_0020#0,"""ก่อนหน้านี้ Risa ได้คุยเป็นครั้งแรกด้วยล่ะ<br>กับคุณชนพื้นเมืองที่อยู่ที่นี่น่ะค่ะ<br>ยอดไปเลยเนอะ วิเศษมากเลยเนอะ"""
un_020040_0030#0,"""การที่พวกเค้าเข้าใจคำพูดของ ARKS <br>นี่ไม่คิดว่ามันวิเศษมั่งเหรอคะ?"""
un_020040_0040#0,"""ก็แหมๆ คำพูดที่พวก<br>Risa ใช้น่ะมันค่อนข้าง<br>ซับซ้อนจะตายนี่นา?"""
un_020040_0050#0,"""ทำไมร่างเล็กๆ แบบนั้นถึงมีมันสมอง<br>ที่เข้าใจและพูดภาษาของพวกเราได้<br>ไม่เข้าใจเลยจริงๆ ค่ะ"""
un_020040_0060#0,"""แต่ว่าแต่ว่าแต่ว่า<br>การที่คุยกันรู้เรื่อง นี่มันก็ท่าทางจะ<br>น่าสนุกกว่าที่คาดอีกนะคะ......"""
un_020040_0070#0,"""ถึงจะคาใจว่าถ้ายิงแล้วจะส่งเสียงร้อง<br>ยังไงก็เถอะ แต่ Risa ก็จะพยายาม<br>อดทนอดกลั้นเอาไว้ค่ะ"""
un_020040_0080#0,"""คิกคิก เอ้าๆ<br>กรุณาชม Risa สิคะ?"""
un_020040_0090#0,"""ไม่อย่างนั้น<br>ครั้งหน้าอาจถูกยิงก็ได้นะคะ?"""
un_020040_0010#1,"""ああ、ちょうどいいところに<br>いらっしゃいますねえ。<br>うれしいですねえ、ふふふっ。"""
un_020040_0020#1,"""リサ、この前初めて会話しましたよお。<br>ここの原住民さんと、です。<br>すごいですねえ。すばらしいですねえ。"""
un_020040_0030#1,"""アークスの言葉を理解できるなんて<br>すばらしいと思いませんかあ？"""
un_020040_0040#1,"""だってだって、リサたちの<br>使う言葉は相当に複雑なもののはず<br>なんですよお？"""
un_020040_0050#1,"""あの小さな体、それ相応の頭脳で<br>どうして解読できて、喋れるのか<br>さっぱり理解できません。"""
un_020040_0060#1,"""でもでもでもでも<br>話が通じるというのは、思いの外<br>おもしろそうですねえ……"""
un_020040_0070#1,"""あれを撃ったらどう鳴くのか<br>気になりましたけど、そこはリサ<br>がんばって自制しましたよお。"""
un_020040_0080#1,"""ふふっ、ほらほらあ<br>リサを誉めてくださいねえ？"""
un_020040_0090#1,"""じゃないと次は<br>撃っちゃうかもしれませんよお？"""
