name01#0,"""Xiera"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「フォースの基礎」に<br>ついて訓練していきましょう。"""
text02#0,"""まずは<red>ジャストアタック<c>について<br>訓練しましょう！"""
text03#0,"""通常攻撃やテクニックの後には<br>赤い円が出ます。ジャストアタックは<br>その<red>円に合わせて攻撃<c>することです！"""
text04#0,"""通常攻撃後に出る赤い円に合わせて<br>テクニックを出してみましょう！"""
text101#0,"""課題１：<yellow>ジャストアタックでテクニックを出す"""
train_title#0,"""課題１：<yellow>ジャストアタックでテクニックを出す"""
tut_title#0,"""テクニックについて"""
text100#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>でテクニックを発動する"""
text100_3b#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>もしくは<%MainPaletteC>でテクニックを発動する"""
tut_win_title#0,"""ジャストアタックについて"""
tut_win_text100#0,"""「ジャストアタック」攻撃に成功すると、<br>通常より大きなダメージを与えられます。<br><br><c 00ffff>赤い円の表示中に攻撃ボタンを押す<c>ことで、<br>直後の攻撃がジャストアタックになります。<br><br><c 00ffff>※フォトンアーツやテクニックでも有効です。<c><br><br><c ff3300>※「ペット」の攻撃には、<br>\u3000ジャストアタックはありません。<c>"""
