st_055080_0010#0,"""これは、兄様の……<br>ということは、やはりこのあたりに。"""
st_055080_0020#0,"""兄様ー！\u3000どこですか兄様ー！<br>父上とルツが探していましたよー！"""
st_055080_0030#0,"""兄っ……"""
st_055080_0040#0,"""兄様！？"""
st_055080_0050#0,"""……これなら、出来る。<br>理論上は間違いなく可能だ。"""
st_055080_0060#0,"""おや、ハリエットじゃないか。<br>こんな僻地までよく来たものだ。"""
st_055080_0070#0,"""兄様……今、何をなさっていたんですか？<br>魔神城の召喚……とも、違ったようですが。"""
st_055080_0080#0,"""魔神城？\u3000あんなものは通過点さ。<br>僕の研究が目指すのは、さらにその先にある。"""
st_055080_0090#0,"""その先、ですか？"""
st_055080_0100#0,"""ああ、何だと思う？"""
st_055080_0110#0,"""うーん……魔神城以上に突拍子もないもの……"""
st_055080_0120#0,"""それは、失われし存在の回帰。<br>始原の召喚を、成し遂げる。"""
st_055080_0130#0,"""エフィメラを触媒に用いれば、出来る。<br>これは、隔てた世界をもつないでみせた。<br>……あとは、時間の調整のみ。"""
st_055080_0140#0,"""その存在の魂と肉体を、あるべき時まで<br>遡行する、といった……"""
st_055080_0150#0,"""……兄様。<br>その行いは人に許されるもの<br>なのでしょうか。"""
st_055080_0160#0,"""生憎、僕は神を信じていない。<br>出来る事と、起きた事のみを信じる。"""
st_055080_0170#0,"""存在の遡行……とは、アークスにも<br>そんな技術は存在していません。"""
st_055080_0180#0,"""それを、かのエフィメラを用いて<br>成そうとしていたのであれば<br>ハリエットさんの危惧ももっともです。"""
st_055080_0190#0,"""……急ぎましょう。<br>私でもわかるぐらい、嫌な予感がします。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
