11_voice_NPC_5580_100#0,"""スペース・ツナに、なにか用ツナ？<br>厄介事は隊長におまかせツナ！"""
text01002#0,"""そこの白い服の子が隊長ツナ。<br>隊長に声をかけるといいツナ！"""
11_voice_NPC_5580_108#0,"""中トロ号がいないと<br>あんまり調子が出ないツナ……<br>さびしいツナ。"""
text02002#0,"""中トロ号……<br>誰かに食べられてないツナか……<br>心配ツナ……"""
text03001#0,"""たまに雲の上から<br>「ここ、マグロが釣れそう」って<br>声が聞こえてくるツナ。"""
11_voice_NPC_5580_200#0,"""上から見たら、ツナの頭は<br>マグロっぽく見えるツナか？<br>だったら、光栄ツナ！！"""
11_voice_NPC_5580_100#1,"""いつでも出撃できるツナよ。"""
text04002#0,"""中トロ号はもうキャンプシップで<br>待機してるツナ。<br>ふっふっふっ……腕が鳴るツナ！！"""
11_voice_NPC_5580_201#0,"""リーダー、いっぱいお手伝い<br>ありがとうツナ！"""
text06002#0,"""任務が終わったら、セラフィさんに<br>イシャリョウを請求するツナ。<br>中トロ号と離されてさびしかったツナ。"""
11_voice_NPC_5580_202#0,"""リーダーは武器をつけたままで<br>うらやましいツナね……"""
Title#0,"""『PSO2es』について"""
text0001#0,"""『ＰＳＯ２ｅｓ』のヤスミノコフ８０００Ｃをはじめとする<br>人気ウェポノイドたちが、期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べるアプリケーションです。<br>タッチとスライドの簡単操作で本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に、強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、ジェネやモアたちダーカーバスターズのほか<br>アフタル、リーン、ウェポノイドたち、魅力的な仲間と一緒に<br>宇宙をめぐる壮大な物語に旅立つことができます！"""
text0002#0,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと連動することができます。<br>データを連動させれば『ＰＳＯ２』のキャラクターを<br>そのまま使って遊ぶことができます。<br>無料で使える『ＰＳＯ２ｅｓ連動倉庫』や、経験値チケット<br>様々なレアアイテムなどが入手できます。<br>『ＰＳＯ２ｅｓ』を連動して遊ぶことで『ＰＳＯ２』を<br>いつでも、どこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして、フォルニスフィジスやアギト<br>エルデトロス、スペース・ツナたちに会いに行きましょう！<br>無限に広がる世界で、ダーカーバスターズのメンバーや<br>魅力的なウェポノイドたちがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
Title#1,"""『PSO2es』について"""
text0001#1,"""『ＰＳＯ２ｅｓ』のヤスミノコフ８０００Ｃを<br>はじめとする人気ウェポノイドたちが<br>期間限定で『ＰＳＯ２』に登場！<br><br>『ＰＳＯ２ｅｓ』はスマートフォンで遊べる<br>アプリケーションです。<br>タッチとスライドの簡単操作で<br>本格アクションが楽しめます。<br><br>『ＰＳＯ２』でおなじみの武器から生まれた<br>「ウェポノイド」と共に<br>強大なエネミーを相手に戦いましょう！<br>ストーリークエストでは、アフタルやリーン<br>ジェネやモアたちダーカーバスターズの仲間と<br>宇宙をめぐる壮大な物語に<br>旅立つことができます！"""
text0002#1,"""『ＰＳＯ２ｅｓ』は『ＰＳＯ２』のデータと<br>連動することができます。<br>データを連動させれば『ＰＳＯ２』の<br>キャラクターをそのまま使って<br>遊ぶことができます。<br>無料で使える連動倉庫が使え<br>経験値チケットやレアアイテムが入手できます。<br>『ＰＳＯ２ｅｓ』を遊ぶことで『ＰＳＯ２』を<br>いつでもどこでも、より効率的に楽しめます。<br><br>興味を持った方は今すぐダウンロード！<br>『ＰＳＯ２ｅｓ』をプレイして<br>ウェポノイドたちに会いに行きましょう！<br>ダーカーバスターズのメンバーや<br>魅力的なウェポノイドがあなたを待っています！<br>さあ、新たなる冒険の旅へ！！"""
