IncidentName#0,"""มันโผล่มาจากตะเกียง !"""
TrialBeginMsg#0,"""กำจัด Mr. Bowan ให้ได้ในเวลาที่กำหนด !<br>โบนัสพิเศษจะเพิ่มตาม Damage ที่ทำได้ !"""
TrialAbstract#0,"""กำจัด Mr. Boing ในเวลาที่กำหนด !"""
IncidentName#1,"""ランプの中からボワワワン！"""
TrialBeginMsg#1,"""Ｍｒ．ボワンを時間内に撃破せよ！<br>与えたダメージによりボーナス量が変化！"""
TrialAbstract#1,"""Ｍｒ．ボワンを時間内に撃破せよ"""
NpcComOnBegin#0,"""/face2 อ๊ะ ! Mr. Bowan นี่คะ !<br>ถ้าใช้ Photon โจมตีใส่จนเค้าพอใจ<br>อาจมีเรื่องดีๆเกิดขึ้นก็ได้นะ !"""
NpcComOnSuccess#0,"""/face2 ใช้ Photon ใส่ Mr. Bowan จนมากพอแล้วมั้งคะนี่ !<br>จะได้อะไรรึเปล่าน้า ?"""
NpcComOnFailure#0,"""ดูเหมือนจะให้ Photon กับ Mr. Bowan ไม่พอนะคะเนี่ย...<br>อย่าคิดมากแล้วมาทำภารกิจหลักกันต่อเถอะค่ะ"""
StruckJackBox#0,"""Mr. Bowan ไม่ค่อยอยู่ที่ไหนนานหรอกนะคะ !<br>รีบโจมตีใส่เยอะๆตอนยังมีโอกาสสิคะ !"""
NpcComOnBegin#1,"""/face2 あっ！\u3000Ｍｒ．ボワンですよー！<br>攻撃してフォトンを十分に与えると<br>イイ事があるみたいですよ？"""
NpcComOnSuccess#1,"""/face2 Ｍｒ．ボワンにフォトンを<br>いっぱい与える事ができましたね！<br>ご利益はありましたか？"""
NpcComOnFailure#1,"""Ｍｒ．ボワンへのフォトンが<br>少し足りなかったようですね……<br>気にせず任務を続けてください。"""
StruckJackBox#1,"""Ｍｒ．ボワンは気まぐれなので<br>すぐにどこかに消えちゃいます！<br>どんどん攻撃しちゃってください！"""
