text01#0,"""ใช่แล้ว!! นี่คือ Rod ที่ข้าทำหาย<br>ขอบคุณมาก!"""
text02#0,"""มันพิเศษมากสำหรับข้า <br>เพราะเป็นของขวัญที่ Zeno ให้ข้า<br>ตอนที่ข้าเข้าร่วม ARKS"""
text03#0,"""ข้าใช้มันตั้งแต่ตอนนั้น<br>มันเปรียบเสมือนเพื่อนแท้ของข้า<br>ข้าดีใจที่ได้มันกลับมา!"""
text04#0,"""ข้าไม่รู้จะขอบคุณท่านยังไง<br>โปรดรับของขวัญนี้ไป<br>นี่คือ Client Order"""
11_voice_NPC_5002_101#0,"""โอ นี่คือโอกาสที่ดีที่จะให้ partner card ของข้า<br>โปรดเรียกข้าได้ทุกเวลา<br>ไว้เจอกัน!!"""
linewindow001#0,"""ตอนนี้ท่านสามารถเชิญ Echo มาเป็นพาร์ทเนอร์ได้แล้ว"""
text01#1,"""うん、間違いない。<br>これ、あたしの探してた長杖だよ。<br>うわー、本当にありがとう！"""
text02#1,"""これさ、あたしがアークスに<br>やっとの思いでなったときに<br>お祝いってゼノからもらったものなの。"""
text03#1,"""それ以来ずーっと使ってるものだから<br>愛着もあってさ……<br>あー、よかったぁ……"""
text04#1,"""重ね重ね、ありがとね！<br>これ、報酬。きちんと受け取ってね。<br>そこまでがクライアントオーダーよ。"""
11_voice_NPC_5002_101#1,"""あ、あと、いい機会だから、あたしの<br>パートナーカードも渡しておくね。<br>いつでも呼んでね！\u3000それじゃ！"""
linewindow001#1,"""<br>エコーをパートナーとして呼べるようになりました。<br>"""
