text01001#0,"""哎呀，是你啊。<br>你來得正好。<br>我有話跟你說。"""
text01002#0,"""我叫蜜可拉。<br>我有一些煩惱。"""
text01003#0,"""什麼？<br>看不出來我有煩惱？<br>你很失禮耶，你是何方神聖？"""
text01004#0,"""算了，你是誰都無所謂。<br>只要能幫我實現願望，<br>我就原諒你的無禮。"""
text02001#0,"""喂，你過來一下。<br>我的願望達成了嗎？"""
text02002#0,"""趕快去辦吧。<br>煩惱對心理是有害的。"""
text03001#0,"""我終於瞭解，<br>終於瞭解自己該做什麼了。"""
text03002#0,"""我要退出ARKS，<br>然後用我的美貌和美聲。"""
text03003#0,"""不懂嗎？<br>歌星啦！我要當歌星。"""
text03004#0,"""就是這樣。"""
text03005#0,"""啊啊，我該感謝你。<br>謝謝。"""
text01001#1,"""あらアンタ。<br>いいところに通りかかったわね。<br>ちょっとアタシの話を聞きなさい。"""
text01002#1,"""アタシはミケーラ。<br>今ちょっと悩み事があるのよ。"""
text01003#1,"""何？<br>とても悩んでる風に見えない？<br>アンタ失礼ね、何様のつもり？"""
text01004#1,"""まあ、アンタが何様でもいいわ。<br>アタシのお願いを叶えてくれるなら<br>無礼だって許してあげる。"""
text02001#1,"""ちょっとアンタ。<br>アタシのお願い、どうなってるの？"""
text02002#1,"""さっさとしてよね。<br>悩みは心の毒なんだからね。"""
text03001#1,"""ようやくアタシにも<br>アタシが何をしたいかわかったわ。"""
text03002#1,"""アタシ、アークスを辞めて<br>この美貌と美声を活かしていくわ。"""
text03003#1,"""わからないのかしら？<br>歌手よ歌手、歌い手になるの。"""
text03004#1,"""それじゃ、そういうことで。"""
text03005#1,"""ああ、一応感謝はしてるわよ。<br>ありがとう。"""
