Title#0,"""遊戲成就"""
Player#0,"""玩家記録"""
Quest#0,"""任務記録"""
RareItem#0,"""稀有道具獲得履歴"""
BossEnemy#0,"""BOSS型敵人討伐履歴"""
RareEnemy#0,"""稀有型敵人討伐履歴"""
Challenge#0,"""挑戰記録"""
TitleEnemyTotal#0,"""敵人討伐総数"""
TitleQuestTotal#0,"""任務完成次數"""
TitleRankSS#0,"""評價級別ＳS"""
TitleRankS#0,"""評價級別Ｓ"""
TitleRankA#0,"""評價級別Ａ"""
TitleRankB#0,"""評價級別Ｂ"""
TitleRankC#0,"""評價級別Ｃ"""
TitleMissCount#0,"""無法戰鬥次數"""
TitleAttackDamage#0,"""最高造成傷害"""
TitlePlayTimeTotal#0,"""總遊戲時間"""
Normal#0,"""$(0)"""
EnemyCount#0,"""討伐$(0)隻"""
Count#0,"""$(0)次"""
PlayTime#0,"""$(0)小時$(1)分"""
Number#0,"""$(0)個"""
TitleAchieve#0,"""稱號獲得數"""
TitleQuestName#0,"""任務名"""
TitleQuestRank#0,"""任務級別"""
TitleQuestResult#0,"""評價"""
RankS#0,"""評價級別Ｓ"""
RankA#0,"""評價級別Ａ"""
RankB#0,"""評價級別Ｂ"""
RankC#0,"""評價級別Ｃ"""
TitleItemName#0,"""道具名"""
TitleRarity#0,"""稀有度"""
TitleEnemyName#0,"""敵人名"""
TitleLevel#0,"""等級"""
Level#0,"""Lv."""
EnemyLevel#0,"""$(0)"""
TitleEnemyName#1,"""敵人名"""
TitleLevel#1,"""等級"""
Level#1,"""Lv."""
EnemyLevel#1,"""$(0)"""
TitleQuestName#1,"""任務名"""
TitleAchievement#0,"""完成情況"""
TitleGetPoint#0,"""獲得CP"""
