Title#0,"""T:採掘基地防衛戦：絶望"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>強力な多数のダーカー反応を確認した。<br>既に侵食は進み、絶望的な状況下にある。<br>だが、我々は諦めるわけにはいかない。<br>拠点防衛用に新たに開発された<br>A.I.Sを駆使し、ダーカーを迎撃せよ。<br>――――――――――――――――――――<br>全8ウェーブ<br>失敗条件/全拠点の陥落"""
SimpleExplanation#0,"""採掘基地を防衛せよ！"""
Wave1_Talk#0,"""ダーカーが出現しましたー！<br>防衛ソケットへの侵食も確認。<br>全部まとめてやっつけちゃって下さい！"""
Wave2_Talk#0,"""ダーカーの砲台を確認！<br>A.I.Sを呼び出して<br>敵さんを撃退しちゃいましょう！"""
Wave3_Talk#0,"""上空に未確認反応を確認！<br>何か来るかもしれません。<br>気をつけて下さい！"""
Wave4_Talk#0,"""複数箇所からの反応がありますー！<br>同時に襲われないように<br>警戒、警戒ですよー！"""
Wave5_Talk#0,"""また新しい反応ですー！<br>ダーカーの障壁も発生するかも<br>しれません！\u3000要注意です！"""
Wave6_Talk#0,"""これが最後……にしては<br>なんだかまだ反応あるような……？<br>と、とにかく頑張ってください！"""
Wave7_Talk#0,"""わわっ、わわわっ！？\u3000何ですかこれ！<br>こんな強力な敵性反応、はじめてです！<br>すっごく、気をつけてください！"""
Wave8_Talk#0,"""ま、またすっごい強力な敵さんが<br>来るみたいです！\u3000でもきっとこれが<br>最後のはず！\u3000頑張ってくださいっ！"""
Wave1_Talk_Cool#0,"""正結晶はエリアの四隅にたくさん<br>出るみたいです！\u3000カタパルトを<br>使うと回収しやすいですよ！"""
Wave2_Talk_Cool#0,"""侵食されたソケットを放っておくと<br>ダーカーの砲台が発生しちゃうかも。<br>注意して下さい！"""
Wave3_Talk_Cool#0,"""この採掘基地は使える機能が<br>いっぱいです！\u3000バーストバリアや<br>耐久値回復も駆使して下さいね！"""
Wave4_Talk_Cool#0,"""おおっ！\u3000少し正結晶の輝きが<br>強くなったみたいです！<br>どんどん回収しちゃいましょう！"""
Wave5_Talk_Cool#0,"""侵食が進んできてるみたいです……<br>今のうちに侵食されたソケットを<br>浄化して、次の襲撃に備えましょう！"""
Wave6_Talk_Cool#0,"""次の反応は大きいみたいですよー！<br>A.I.Sの準備は大丈夫ですか？<br>フォトン粒子砲もお忘れなく！"""
Wave7_Talk_Cool#0,"""お疲れ様でしたー！\u3000<br>これにて防衛終了ですっ……あれ？<br>待ってください。今、何か反応が……"""
Wave8_Talk_Cool#0,"""次の襲撃が来る前に、正結晶を<br>たっくさん回収しておいてください！<br>今度の反応は、とってもヤバいです！"""
NpcComMsg1#0,"""まもなく状況開始です！\u3000既に侵食が<br>かなーり進んじゃっているようなので<br>くれぐれも注意してくださいっ！"""
NpcComMsg2#0,"""こういう時は、A.I.Sで<br>敵さんを蹴散らしちゃいましょう！<br>それでは、ご武運を！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
