un_059020_0010#0,"""あっ、<%me>！<br>ちょうどいいところに！"""
un_059020_0020#0,"""追いかけられてるっぽいから<br>ちょっと匿ってほしい、かな。<br>ほら、来た！！"""
un_059020_0030#0,"""あら、あらあらあらら？<br>ヘンな気配を追いかけていたら<br>あなたに辿りつきましたねえ。"""
un_059020_0040#0,"""つまりつまりこれはこれは<br>あなたがヘンと、そういうこと<br>なのでしょうか？"""
un_059020_0050#0,"""ヘンな気配？"""
un_059020_0060#0,"""失礼な"""
un_059020_0070#0,"""はい、ヘンな気配ですよお。<br>あなたは感じませんかあ？"""
un_059020_0080#0,"""ふふふふ、失礼でしょうかねえ。<br>あなたは十分ヘンな方だと思いますよお。"""
un_059020_0090#0,"""リサはですねえ、リサの感覚に素直に<br>生きているだけですからねえ。<br>ヘンと思ったらヘンと言うだけです。"""
un_059020_0100#0,"""でも、このヘンな感じは<br>イヤな感じとは違うやつですよお。<br>あなたに近いもの、ですねえ。"""
un_059020_0110#0,"""んん？\u3000そうなるとこのヘンな気配は<br>やっぱりあなたからなんですかあ？"""
un_059020_0120#0,"""ま、リサは暇つぶしに<br>追いかけてただけなので<br>どうでもいいんですけどね。"""
un_059020_0130#0,"""それでは、リサは行きますよお。<br>ヘンな気配の持ち主さんにも<br>よろしく言っておいてくださいねえ。"""
un_059020_0140#0,"""ではでは、ではではでは。"""
un_059020_0150#0,"""……はー、行ってくれた。<br>得体の知れない怖さがあったよ。"""
un_059020_0160#0,"""気配を感じた程度なら<br>気のせいだって流しそうなのに……<br>確信をもって追いかけてきてたもん。"""
un_059020_0170#0,"""それだけ、自分の感覚に<br>自信があるってことなんだろうけど。"""
un_059020_0180#0,"""それともわたし<br>何かヘンな匂いでもしてるのかな？<br>……そんなことないよね。"""
un_059020_0190#0,"""ま、たとえ姿が見えなくても<br>気づく人は気づく、ってことか。<br>流石アークス、って言うべきかな？"""
