text00#0,"""バスタークエストについて"""
text10#0,"""フェイズについて"""
text20#0,"""シエラの支援について"""
text30#0,"""魔神兵器と魔神城の攻撃について"""
text40#0,"""アークス兵器について"""
text50#0,"""兵器セットの選択について"""
text100#0,"""戻る"""
Title#0,"""バスタークエストについて"""
text01#0,"""このクエストは拠点となる<c 00ffff>破界塔<c>を守りつつ、<br>魔神城の破壊を目的としたクエストです。<br><br>敵から破界塔を守る<c 00ffff>ディフェンスフェイズ<c>と<br>敵陣に攻め入る<c 00ffff>バスターフェイズ<c>を<br>交互に繰り返し進行していきます。<br><br>２つのフェイズの間には<br>準備を行なう<c 00ffff>クールタイム<c>が発生するため<br>万全の状態で戦闘に臨みましょう。"""
text02#0,"""自軍と敵軍の戦況は<c 00ffff>戦力ゲージ<c>として確認でき<br><yellow>魔神城を破壊<c>するか、制限時間終了時に<br><yellow>敵軍より戦力が上回る<c>と勝利となります。<br><br>戦力ゲージは以下の条件で減少します。<br><c 00ffff>◇自軍<c><br>・破界塔へのダメージ<br><br><c 00ffff>◇敵軍<c><br>・魔神結界の破壊<br>・魔神城へのダメージ"""
text03#0,"""プレイヤーが戦闘不能となった場合<br>一定時間経過することで<br><yellow>復帰地点から自動的に復活<c>します。<br><br>その他にもムーンアトマイザーによる<br>復活が可能です。"""
text04#0,"""クエスト中、戦闘支援に活用する<br><c 00ffff>マナ<c>がフィールド全体に出現します。<br><br>マナは一定数集めるごとに<br>以下の効果が自動で発生します。<br><br>・魔神結界を破壊するために必要な<br>\u3000破界鎚の出現数が増加（最大４機まで出現）<br>・破界塔の耐久値回復"""
text05#0,"""<c 00ffff>破界鎚<c>は、魔神結界を破壊することが出来る<br>対魔神城兵器です。<br><br>バスターフェイズ開始と同時に召喚され<br>自動的に魔神結界に向かっていきます。<br><br><c ff4f3f>召喚した全ての破界鎚が魔神結界に当たるか、<br>破壊されて全てなくなると、<br>バスターフェイズが終了します。<c>"""
text06#0,"""戦闘中にエネミーはアイテムをドロップせず、<br>クエストクリア時にまとめて獲得できます。<br><br>また、戦績によってリザルトランクが高くなり、<br>クエストクリア時の報酬が変化します。<br><yellow>※クエストクリア時の報酬は<br>所持しているバスターポイントに応じて<br>レアドロップ倍率が上昇します。<c><br><br>協力して魔神城の破壊にあたってください。"""
Title#1,"""フェイズについて"""
text01#1,"""<c 00ffff>ディフェンスフェイズ<c>は、<br>プレイヤーの拠点となる破界塔を<br>一定時間守り抜くか、出現するエネミーを<br>全て討伐すれば終了となります。<br><br>エネミーの攻撃はフェイズが進むごとに<br>激しくなるため注意して、<br>破界塔を守ってください。"""
text02#1,"""ディフェンスフェイズに出現するエネミーは<br><yellow>一定時間経過すると破界塔まで転移<c>されます。<br><br>転移直前のエネミーは、<br>外見に変化が表れるため<br>留意して防衛にあたってください。"""
text03#1,"""ディフェンスフェイズが終了すると<br><c 00ffff>バスターフェイズ<c>に移行します。<br><br>バスターフェイズは破界鎚を使用し<br>魔神城を守っている全ての魔神結界を<br>破壊することが目的です。"""
text04#1,"""魔神結界を全て破壊すると<br>腹部のコアを破壊するアタックフェイズが<br>開始されます。<br><br>この時、一定時間ごとに<yellow>魔神城が<br>破界塔に対して強力なレーザー<c>を放ちます。<br>素早く魔神城を破壊しましょう。"""
text05#1,"""バスタークエストに出現する魔神城は <br>腹部のコアを破壊した後も、<br>頭部を破壊するまで撃破できません。 <br> <br>魔物種による強襲や、魔神城からのより強力な <br>攻撃が行く手を阻みます。 <br> <br>全てを突破し、魔神城の撃破を目指しましょう！"""
text06#1,"""アタックフェイズでは<br>左右の階段を使用し魔神城の元へ<br>移動しましょう。<br><br>途中、防衛機構に待ち受けるエネミーを<br>全て倒さないと先へは進めません。<br>左右に分担し、効率良く倒しましょう。"""
text07#0,"""アタックフェイズでも、一定時間ごとに<br>魔神城が破界塔に対して<br>レーザー攻撃を行います。<br><br>破界塔を全て破壊される前に<br>素早く魔神城を破壊しましょう。"""
Title#2,"""シエラの支援について"""
text01#2,"""バスタークエスト中に<br>シエラによる以下の支援が<br>発生することがあります。<br><br>・バスターフェイズ終了後、<br>\u3000ディフェンスフェイズを行わずに<br>\u3000連続してバスターフェイズを開始する<br><br>・アタックフェイズ時、<br>\u3000魔神城の破界塔への攻撃を<br>\u3000一定時間抑制する<br>"""
Title#3,"""魔神兵器と魔神城の攻撃について"""
text01#3,"""クエスト進行中、フィールドに<br>魔神兵器が出現する場合があります。<br><br>確認されている魔神兵器は以下の通りです。<br><br><c 00ffff>・召喚砲台<c><br>一定時間ごとに破界塔に向かって<br>強力なビームを発射する兵器です。"""
text02#2,"""<c 00ffff>・エフィメラコア<c><br>破界塔にまとわりつき<br>定期的にダメージを与えます。<br>時間が経つほどダメージが大きくなります。<br><br><c 00ffff>・魔神砲台<c><br>魔神砲台の周囲に近づいた<br>プレイヤーや破界鎚に対し、<br>弾を放つ兵器です。<br>一定時間ごとに周囲を<br>凍結させる攻撃も行ないます。"""
text03#2,"""魔神兵器の他にも、魔神城本体による<br>様々な攻撃が確認されています。<br><br>また、魔神城からの強力な攻撃を確認した場合<br>フェイズ開始時に警告が表示されます。"""
Title#4,"""アークス兵器について"""
text01#4,"""敵から破界塔を守るために役立つ<br>自軍の兵器をアークス兵器と呼びます。<br><br>アークス兵器には<br><c 00ffff>◆パッシブオブジェクト<c><br><c 00ffff>◆アクティブオブジェクト<c><br>の２種類が存在します。"""
text02#3,"""パッシブオブジェクトは敵に破壊されるまで<br>設置中に常時効果を発生させる兵器です。<br><br><c 00ffff>・ショットガンタレット<c><br>前方に強力な弾を発射しますが<br>弾を発射した後にクールタイムが発生します。<br><br><c 00ffff>・ガトリングタレット<c><br>前方に弾を発射し、ダメージを与えます。<br><br><c 00ffff>・スロートラップ<c><br>スロートラップを通過した敵の<br>移動速度を低下させます。<br>また、敵の攻撃により破壊されません。"""
text03#3,"""アクティブオブジェクトは<br>任意使用することで効果を発生させます。<br>※使用回数はプレイヤー全体で共有となります<br><br><c 00ffff>・リジェクトバリア<c><br>敵の侵攻を防ぐバリアを展開します。<br>一定時間の経過か、敵により<br>バリアを破壊されることで解除されます。<br><br><c 00ffff>・フリーズバリア<c><br>破界塔周辺に氷属性の攻撃を行い<br>敵をフリーズ状態にします。<br>また、破界塔にまとわりついている<br>エフィメラコアを破壊する事ができます。<br>"""
text04#2,"""<c 00ffff>・フォトンレーザー砲<c><br>数秒間チャージを行った後、<br>ビームを放つ攻撃兵器です。<br><br><c 00ffff>・フォトンパニッシャー<c><br>上空視点からフィールド上の<br>任意箇所を指定することにより<br>その地点に強力なビームを落とす兵器です。<br><br><c 00ffff>・テレパイプキャノン<c><br>テレパイプキャノンと指定した位置までを繋ぐ<br>テレポーターを生成します。<br>※１つのテレパイプキャノンから<br>生成できるテレポーターは１つまでとなります"""
text05#2,"""アークス兵器はフィールド全体に出現する<br>マナを一定数集めることで<br>以下の効果が自動的に発生します。<br><br>・アークス兵器の強化<br>・使用回数に制限のある<br>\u3000アークス兵器の使用回数増加"""
Title#5,"""兵器セットの選択について"""
text01#5,"""破界塔の目の前に配置する<br>複数のアークス兵器の組み合わせを<br>兵器セットと呼びます。<br><br>グレード：２以上のバスタークエストでは<br>クエスト開始時に参加者から<br>兵器セットを配置するプレイヤーが選ばれます<br><br>選ばれたプレイヤーは<br>配置内容の異なる兵器セットの中から<br>好きな配置を選択することが可能です。"""
