Klaris_mb1_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb1_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#0,"""なにせ、ようやく得られた<br>外出許可なのだからな。<br>邪魔したら承知しないぞ、貴様。"""
Klaris_mb2_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb2_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#1,"""なにせ、ようやく得られた<br>外出許可なのだからな。<br>邪魔したら承知しないぞ、貴様。"""
Klaris_mb3_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb3_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#2,"""なにせ、ようやく得られた<br>外出許可なのだからな。<br>邪魔したら承知しないぞ、貴様。"""
Klaris_mb4_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb4_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#3,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb5_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb5_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#4,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb6_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb6_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#5,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb7_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb7_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#6,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb8_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb8_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#7,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb9_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb9_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#8,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb10_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb10_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#9,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb11_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb11_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#10,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb12_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb12_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#11,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb13_010#0,"""なんだ貴様？<br>私に何か用か？"""
Klaris_mb13_020#0,"""私は貴様に用などないぞ。<br>それよりも見たいものが<br>たくさんあるのだ。"""
11_voice_NPC_5030_100#12,"""とはいえ……こうやって<br>眺めているのにも飽きてきたし<br>もっといっぱい外出してみるかな。"""
Klaris_mb14_010#0,"""むー、むーむむむー……<br>はっ、な、なんだ貴様！<br>何か用なのか？"""
Klaris_mb14_020#0,"""用がないなら私のことは気にするな。<br>少し考え事をしているだけだからな。"""
11_voice_NPC_5030_105#0,"""うーん、うううーん……<br>いいのかな、いいのかなあ……"""
Klaris_mb15_010#0,"""むー、むーむむむー……<br>はっ、な、なんだ貴様！<br>何か用なのか？"""
Klaris_mb15_020#0,"""用がないなら私のことは気にするな。<br>少し考え事をしているだけだからな。"""
11_voice_NPC_5030_105#1,"""うーん、うううーん……<br>いいのかな、いいのかなあ……"""
Klaris_mb16_010#0,"""むー、むーむむむー……<br>はっ、な、なんだ貴様！<br>何か用なのか？"""
Klaris_mb16_020#0,"""用がないなら私のことは気にするな。<br>少し考え事をしているだけだからな。"""
11_voice_NPC_5030_105#2,"""うーん、うううーん……<br>いいのかな、いいのかなあ……"""
Klaris_mb16zeno_010#0,"""あ……<br>なんだ、貴様は逃げないのか？"""
Klaris_mb16zeno_020#0,"""私は……ううん、何でもない。<br>私のことなんて放っておいてくれ。"""
Klaris_mb16zeno_030#0,"""そのほうが、貴様のためだ。<br>私のことは、放っておいてくれ。"""
Klaris_mb17_010#0,"""……ああ、貴様か。<br>わざわざ話しに来てくれたのか？"""
Klaris_mb17_020#0,"""だけどすまない、もう少しだけ<br>私を一人にしてくれ……"""
Klaris_mb17_030#0,"""私は、私の中で、私のことを<br>もっときちんと整理しなければ……<br>誰とも向き合えないから……"""
