name01#0,"""卡布拉岡"""
name02#0,"""艾可"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/ci2 1 因為驚嚇過度而調查失敗...<br>大姐妳真的是ARKS嗎？"""
skit02#0,"""/ci3 1 閉、閉嘴啦！<br>我是ARKS啦！ARKS！"""
skit01#1,"""うーわ……気味悪がってて<br>調査失敗とか、ねーちゃんほんとに<br>ダメダメなんやな……"""
skit02#1,"""/ci3 1 /toge た、たまたまよ！<br>今日は調子が悪かっただけ！<br>それだけなんだから！"""
skit01#2,"""/ci2 1 因為驚嚇過度而調查失敗...<br>大姐妳真的是ARKS嗎？"""
skit02#2,"""閉、閉嘴啦！<br>我是ARKS啦！ARKS！"""
skit01#3,"""うーわ……気味悪がってて<br>調査失敗とか、ねーちゃんほんとに<br>ダメダメなんやな……"""
skit02#3,"""/toge た、たまたまよ！<br>今日は調子が悪かっただけ！<br>それだけなんだから！"""
