un_020730_0010#0,"""あ、ちょうどいいところに！<br>こんにちは！\u3000パティですよ！"""
un_020730_0020#0,"""パティちゃんがちゃんと挨拶……？<br>普段からそれ、やれよ……"""
un_020730_0030#0,"""なんかショックを受けてる<br>ティアは放っておいて、ちょうど<br>アナタに聞きたいことがあったの。"""
un_020730_0040#0,"""単刀直入に、アナタ何かやらかした？<br>アークスにとって不都合なこととか。"""
un_020730_0050#0,"""んー、あたしもよくわからないんだけど<br>この前からちょいちょいアナタの情報を<br>聞かれたりするんだよねー。"""
un_020730_0060#0,"""聞いてくる人はたぶん……<br>虚空機関がらみの人。"""
un_020730_0070#0,"""本人に直接聞けば良いことまで<br>こっちに来るからさ。<br>なにかありそうだなーって。"""
un_020730_0080#0,"""……あ、ご心配なく。<br>私たちからは何も話していません。"""
un_020730_0090#0,"""そうそう、パティエンティアは<br>アナタと専属契約中だからね！"""
un_020730_0100#0,"""アナタに話すことはあっても<br>アナタのことを話すのはなし！<br>情報屋のポリシーってやつ！"""
un_020730_0110#0,"""私たちも調べてはいるんですが<br>どうにも後手後手で……"""
un_020730_0120#0,"""まー、あの子からの依頼も<br>受けてるから、仕方なし！"""
un_020730_0130#0,"""だから、私たちにできるのは<br>注意喚起ぐらい。"""
un_020730_0140#0,"""……気をつけて。<br>何かが起きようとしてるみたい。"""
un_020730_0150#0,"""その「何か」がわからないのが<br>ちょっと歯がゆいけど……<br>そこで慌てても仕方ないもんね。"""
un_020730_0160#0,"""なので、あたしとティアは<br>いつも通り、情報収集に<br>東奔西走しちゃうのだ！"""
