Title#0,"""『艦橋』について"""
text01#0,"""「艦橋」は、「EPISODE 4」以降の<br>ストーリーにおいて拠点となる場所です。<br><br>シエラに話しかけることで、この場所からも<br>ストーリークエストを進めることができます。<br><br>また、「クイックメニュー」から<br>移動することができます。"""
text02#0,"""「クイックメニュー」とは、<br><%SelectMenu>で開くことができる<br>便利機能を使用するためのメニューです。<br><br>「クイックメニュー」では、<br>周囲のキャラクター情報を表示することや<br>テレポーターを使用せず、特定のエリアへ<br>移動するといった機能が使用できるため<br>積極的に活用していきましょう。"""
skit01_010#0,"""ここの説明をしていませんでした。<br>この場所の説明をしておきますね。"""
skit01_020#0,"""ストーリークエストなどを<br>受けることができるので<br>寄ってみてくださいね。"""
11_voice_NPC_5239_104#0,"""え、地球の方がここに来たがっている？<br>うーん、うううーん……"""
itsuki_020#0,"""……招かれた方、ですか。<br>なら信用できると思うんですが<br>……シャオが怒りそうですねぇ。"""
itsuki_030#0,"""ここって、これでもかーってぐらいに<br>最重要機密がつまった場所なんで<br>無用なリスクは避けたいんですよ。"""
itsuki_040#0,"""保護名目なら話は別なんですが<br>ちょっと手続きが必要になります。"""
itsuki_050#0,"""ということで、すみませんが<br>今回はお断りってことになります。<br>……申し訳ないです。"""
itsuki_060#0,"""いずれ気軽に出入りできるように<br>目の前の問題解決を頑張りましょう。"""
11_voice_NPC_5239_100#0,"""アークスシップに滞在している<br>みなさんには、もう挨拶されました？"""
st01_020#0,"""みなさん、共通して<br><%me>さんに<br>会いたがっていましたよ。"""
st01_030#0,"""リハビリという名目もありますし<br>お暇を作ってぶらぶらしながら<br>色々話してきたらいかがでしょう？"""
11_voice_NPC_5239_104#1,"""私たちの地球への干渉に対して<br>シャオは何も言ってこないんですよね。"""
st01_020#1,"""普段なら、まずいことをするとすぐに<br>修正指導が来ますし、何かしら連絡が<br>あると思ったんですが、それもなし。"""
st01_030#1,"""もしかすると、この地球の出来事に<br>【深遠なる闇】の抜本的解決、あるいは<br>その糸口があると考えているのかも……"""
st01_040#0,"""……まあ、私にはさっぱり<br>想像つきませんけどね。"""
11_voice_NPC_5239_102#0,"""情報部が情報部なりに考えていたのは<br>私にだってわかってますよ。"""
st01_020#2,"""でもでも、もっとやりようはあったと<br>思うんですよね、絶対に。"""
st01_030#2,"""情報の整理だって自分たちで出来るのに<br>こっちにまるっと投げてきて……もう！"""
11_voice_NPC_5239_102#1,"""情報部からの情報の整理は<br>そりゃ大変でしたよ。"""
st01_020#3,"""何も一気にドバーっと未整理の状態で<br>渡さなくてもいいと思うんですよね！"""
st01_030#3,"""まあ、でも管理しやすいように<br>情報の整理が出来たと思って<br>良しとします！"""
11_voice_NPC_5239_102#2,"""ヒツギさんの様子が心配ですね。<br>無理をしちゃってる感じがします。"""
st01_020#4,"""んー……どうしたらいいんでしょう。<br>気にかけてたところで<br>大丈夫と返されてしまうでしょうし。"""
st01_030#4,"""なんかできれば良いのですが<br>うーん……思いつきません。"""
st01_040#1,"""心配することしかできないのも<br>心苦しいものですね。"""
st01_010#0,"""アルくんのことについては、もろもろの<br>対応と平行して調査中ですよ。<br>アルくんも協力してくれますしね。"""
st01_020#5,"""ただ、今のところ普通のアークスや<br>ヒツギさんたちとの差異があまりなく<br>いまいち、答えが見えてきません。"""
st01_030#5,"""シャオにも見解を要求していますが<br>今のところは私たちと同じ結論です。<br>普通の人間である、と。"""
st01_040#2,"""最初、アルくんに接触しようとしたとき<br>強制的に切断してきたマザー……<br>何か秘密があると思うんですけどね。"""
11_voice_NPC_5239_102#3,"""ヒツギさんの生命反応は<br>復活していたのですが<br>それでも意識は失ったままでした。"""
st01_020#6,"""具現武装とは、心象の具現です。<br>それを折られたというのは<br>そのまま、心を折られたということ。"""
st01_030#6,"""……何にせよ、助け出さなければ<br>わからないことですが、心配です。<br>ヒツギさんの身体も、心も。"""
st01_040#3,"""……あ、ちなみにアルくんは無事です。<br>現在、メディカルチェックを<br>受けてもらっている最中ですよ。"""
st01_010#1,"""うー……頭がガンガンします……<br>ああするしかなかったとはいえ<br>管理管制一人持ちはもう勘弁です。"""
st01_020#7,"""体調万全なら、今感知している<br>変な反応もここで分析できるんですが<br>……すみません、お手数かけます。"""
11_voice_NPC_5239_104#2,"""うー……頭がガンガンします……<br>ああするしかなかったとはいえ<br>管理管制一人持ちはもう勘弁です。"""
st01_010#2,"""幻創種ダーカー……エスカダーカーと<br>呼称している敵性存在ですが<br>まだ、ダーカーとは異なるようです。"""
st01_020#8,"""侵食性質などは及ぶべくもなく<br>アークスに対する強い敵愾心もなし。<br>あくまで、見た目の類似にすぎません。"""
st01_030#7,"""……ただ、ここからどういった変化を<br>していくかもまだ、読めません。<br>早くなんとかしないと、危ないです。"""
st01_010#3,"""ヒツギさんとコオリさん。<br>仲直りできて、よかったですよね。"""
st01_020#9,"""当初からお二人のことを監視……<br>じゃなかった、見守っている者としては<br>一安心って感じですよ。"""
st01_030#8,"""……状況としては予断を許しませんが<br>一つ一つ解決していけば<br>きっと大丈夫、絶対に大丈夫です！"""
11_voice_NPC_5239_100#1,"""またも問題山積み状態ですが……<br>今は笑顔ですよ！\u3000なにせアルくんが<br>無事に戻ってきたのですから！"""
st01_020#10,"""もちろん、アークスによる検査も完了。<br>すでにダークファルスの残滓なども<br>祓われていることを確認しています。"""
st01_030#9,"""<%me>さんに<br>わかりやすく言うなら、マトイさんと<br>同じ状態、ってことですね。"""
11_voice_NPC_5239_104#3,"""強制的な進化……<br>それは、理から外れた行為です。"""
st01_020#11,"""もっとも、アークスやフォトナーも<br>歴史の中で大差ないことをやってきて<br>いますけども……"""
st01_030#10,"""結末は、決まって良くないことばかり。<br>……そうさせないためにも<br>私たちで止めないといけません。"""
st01_010#4,"""最初は、ヘンなアークスの調査から<br>始まった地球との関わり合いが<br>ここまで大事になるとは……"""
11_voice_NPC_5239_100#2,"""いろいろとありましたけど、なんとか<br>みなさん無事に終わってよかったです。<br>オペレーター冥利に尽きますね！"""
st01_030#11,"""もっとも、この一連の騒動の報告書など<br>オペレーター的にはここからが大変<br>なんですけどね……"""
sq00_010#0,"""うう、緊張しますね……<br>自分が戦うわけじゃないんですが<br>それでも、です。"""
sq00_020#0,"""私も全力で支えます。<br>だから、頑張ってくださいね。<br><%me>さん。"""
sq01_010#0,"""反応を完全にロストしたのって<br>今回が初めてだったので<br>ずっとパニック状態でした。"""
sq01_020#0,"""本人を前に言うのはしゃくですが<br>シャオがいてくれて良かったです。"""
11_voice_NPC_5239_100#3,"""それになにより、貴方が無事で<br>本当に良かったです。"""
11_voice_NPC_5239_104#4,"""まさか、こんな形でルーサーに<br>出会うことになってしまうとは……<br>あっちに行きたくなくなります……"""
sq02_020#0,"""ああいえ、職務放棄はしませんよ！<br>それに向こうのルーサーは、なんだか<br>こっちのルーサーとは違うようですし。"""
sq02_030#0,"""……もう少し、様子を見ます。<br>油断はしませんけど。"""
11_voice_NPC_5239_104#5,"""今度はゲッテムハルトさんに<br>亡くなったメルフォンシーナさんまで<br>……もう、頭は大混乱中です。"""
sq03_020#0,"""何故、とかを考えるよりも<br>目の前で起きていることを受け入れて<br>どうするか、を考えるようにします。"""
sq04_010#0,"""私たちが向こうでやってることは<br>決して無駄ではなかったんです！<br>がぜんやる気、出てきましたよ！"""
11_voice_NPC_5239_100#4,"""向こうでは辛い出来事も多いですが……<br>頑張っていきましょうね<br><%me>さん！"""
sq05_010#0,"""オメガのルーサー……<br>見た目はああですが、ハリエットさんを<br>大事に思っていたのは間違いないです。"""
sq05_020#0,"""だから、なんていうか……<br>あのルーサーは、そんなに憎めなくて<br>……ちょっとだけ、ショックです。"""
sq06_010#0,"""ルーサーを……お兄さんを失った<br>ハリエットさんの心痛<br>私にだって、わかります。"""
sq06_020#0,"""けど、聞かなければなりません。<br>お二人の間に何があったのかを。"""
sq06_030#0,"""<%me>さん。<br>ハリエットさんのところに<br>向かいましょう。"""
11_voice_NPC_5239_108#0,"""【若人】の関係者達が<br>一斉に行方不明なんて……<br>絶対に良くないことが起きてます。"""
sq08_020#0,"""次はどんな無茶苦茶に<br>対処することになるんでしょうか。<br>今から気が重いですね。"""
11_voice_NPC_5239_106#0,"""……はっ！\u3000いけないいけない！<br>私たちが頑張らないとダメなんです！<br>頑張りましょうね！"""
sq09_010#0,"""アイカさんがこうして無事戻ってきた<br>ということは、きっと他のみなさんも<br>同じように戻ってこられるはずです！"""
11_voice_NPC_5239_100#5,"""ちょっと……色々な意味で怖いですが<br>頑張りましょうね！<br><%me>さん！"""
11_voice_NPC_5239_105#0,"""オメガでの事件は大概疲れますが<br>今回のは、特に疲れました。<br>主に、精神的に。"""
sq10_020#0,"""しかし、休んでもいられません。<br>あくまで失踪者全員を取り戻した<br>だけであって、事態は続いてますし。"""
sq10_030#0,"""次は何が起こるんでしょう。<br>……未然に止められれば<br>ベストなんですけど。"""
sq11_010#0,"""やはり、来てしまいましたね。<br>傾向的には、こうなるだろうって<br>思ってはいたんです。"""
sq11_020#0,"""でも……あっちの世界のフロー君は<br>その、悪い子に見えなかったから<br>もしかしたら……って。"""
11_voice_NPC_5239_104#6,"""悪い予想は良く当たるんですが<br>良い予想って当たらないものですね。<br>……少し、悲しいです。"""
sq12_010#0,"""ブラックホールの異常状態は<br>間違いなくオメガ側の影響です。"""
sq12_020#0,"""あちらの動乱を抑え込めば<br>……止まるはずです。多分。<br>いえ、絶対にそうです！"""
sq12_030#0,"""エルミルを止めましょう！<br>そして、ハリエットさんを救って<br>世界を、救うんです！"""
sq12_040#0,"""守護輝士の力の見せ所、ですね！"""
11_voice_NPC_5239_105#1,"""終の女神、シバの座標追跡は<br>出来ていません。<br>現在位置は、不明です。"""
sq13_020#0,"""というより、現在のシステムでは<br>彼女たちを追う術がなくて……"""
sq13_030#0,"""技術なのか、能力なのか……<br>何にせよ、桁違いってことです。"""
11_voice_NPC_5239_105#2,"""終の女神・シバについての不明点が<br>やはり多すぎます……敵の次の動きが<br>読めない以上、不安ですね。"""
ep6_sq00_02#0,"""ただ、当事者や司令層を中心に<br>緊急会議を重ねてきて<br>新たに分かった事実もあります。"""
ep6_sq00_03#0,"""楽観的に考えることはできませんが……<br>みなさんで話し合って考えていけば<br>確実に前に進めます。頑張りましょう！"""
11_voice_NPC_5239_105#3,"""アルマさん……大丈夫なんでしょうか。<br>隠れて無理しちゃうタイプですから<br>……すこし心配ですね。"""
ep6_sq01_01#0,"""シップごとの独立演算、異常なし。<br>アークス各員の状況、報告受信中。<br>惑星アムドゥスキアへ、航行中！"""
ep6_sq01_02#0,"""シャオを信じて、みなさんを信じて……<br>前だけを見て頑張らなきゃ、ダメです！<br>今は、不肖シエラにお任せください！"""
11_voice_NPC_5239_107#0,"""マザーシップの内部に敵性反応です！<br>こんなに早く、予兆もなしに<br>突然現れるなんて……！"""
ep6_sq01_00_01#0,"""敵艦隊の追撃を振り切るため<br>大規模な緊急作戦が続いていますが<br>みなさんが無理してないか、心配です……"""
ep6_sq01_00_02#0,"""でも、アムドゥスキアには<br>着実に近づいています。それまで……<br>かならず、みなさんで切り抜けましょう！"""
11_voice_NPC_5239_100#6,"""<%me>さん<br>お疲れさまでした……！<br>本当に、ありがとうございました！"""
