un_013040_0010#0,"""อื๋อ? อ๊ะ คู่หูนี่เองหรอกเหรอ"""
un_013040_0020#0,"""ข้าก็กำลังอยู่ระหว่างตามหาของบางอย่าง<br>อยู่เหมือนเดิมแหละ แต่พูดก็พูดเถอะ<br>ทำไมข้ารู้สึกว่าข้าหาเจอแต่ท่านนะ"""
un_013040_0030#0,"""อืม...... แต่พักนี้ทำไมรู้สึกว่าบรรยากาศที่<br>ชวนตะหงิดใจมันลอยอยู่เต็มไปหมดเลยน้า"""
un_013040_0040#0,"""ถึงแม้จะถามว่ามันเป็นแบบไหนก็เถอะ<br>มันก็อธิบายยากอยู่นะ......<br>อืม ก็เอ่อ......"""
un_013040_0050#0,"""รู้สึกน่าคิดถึง?<br>ไม่สิ รู้สึกน่ากลัวล่ะมั้ง?"""
un_013040_0060#0,"""คู่หู ท่านไม่รู้แบบนั้นบ้างเหรอ?<br>......ไม่รู้สึกสินะ ก็แสดงว่ามีแค่ข้า<br>ที่รู้สึกอยู่แค่คนเดียวเท่านั้นจริงๆ ด้วย"""
un_013040_0070#0,"""อือ...... อะไรกันนะความรู้สึกนี้<br>มีทั้งความรู้สึกดีและความรู้สึกแย่เลย"""
un_013040_0080#0,"""อ๊า คิดไปก็ไม่เกิดประโยชน์อะไร!<br>กลับไปทำตามความตั้งใจแต่แรกของตัวเองดีกว่า!<br>งั้นข้ากลับไปหาของต่อละนะ แล้วไว้เจอกัน!"""
un_013040_0010#1,"""ん？\u3000あっ、相棒か。"""
un_013040_0020#1,"""おれは変わらず探し物の最中だよ。<br>つっても、なんかお前ばっかり<br>探し当ててる気もするけどな。"""
un_013040_0030#1,"""んー……でも最近はなんだか<br>気になる空気が漂ってるんだよなぁ。"""
un_013040_0040#1,"""どういうのかって聞かれると<br>説明が難しいんだけど……<br>うーん、えーっと……"""
un_013040_0050#1,"""懐かしい、感じ？<br>いや、怖い感じなのかな？"""
un_013040_0060#1,"""相棒、お前はそういうの感じない？<br>……感じてないか。ということは<br>やっぱおれだけなのかなあ。"""
un_013040_0070#1,"""むむむ……何なんだろうなこの感覚。<br>いい感じもするし、悪い感じもする。"""
un_013040_0080#1,"""ええい、考えても無駄！<br>なにはともあれ初志貫徹！<br>おれは探し物に戻る、それじゃな！"""
