st_058120_0010#0,"""……ハリエット！<br>貴様、何をした！"""
st_058120_0020#0,"""この世界が、人の願いに応じただけ。<br>神を喚び起こし、英雄を喚び覚ました。<br>それは全て、ここに生きる人の願い。"""
st_058120_0030#0,"""人の願い……だと！<br>欺瞞と欲望に満ちた人の願いが！？"""
st_058120_0040#0,"""全てがそうではないのです。<br>私はそれを、父様に、兄様に……<br>そして、守護輝士に教えてもらいました。"""
st_058120_0050#0,"""認めなさい、エルミル。<br>人はそうやすやすと絶望には沈みません。<br>……それは、私も同じです。"""
st_058120_0060#0,"""自らを……人というのか？<br>器の分際で！"""
st_058120_0070#0,"""私は人です。<br>私は、ハリエットです。"""
st_058120_0080#0,"""皆がそう、信じてくれているから……<br>守護輝士が、信じてくれたから……<br>私は、人間であることを諦めません。"""
st_058120_0090#0,"""く……っ！<br>全ての希望の根源は<br>貴様か！\u3000守護輝士！"""
st_058120_0100#0,"""<%me>さん！<br>前方に高エネルギー反応！"""
st_058120_0110#0,"""ダークファルスが……勢揃い……<br>出迎えにしては、豪華すぎませんか……？<br>繭まで、あと少しだというのに……！"""
st_058120_0120#0,"""はっ、今更この程度で<br>たじろいでんじゃねェよ！"""
st_058120_0130#0,"""ふむ、こうして俯瞰してみると<br>なかなかどうして、醜悪だな。"""
st_058120_0140#0,"""アタシ自身がこんなのだったなんて<br>正直信じたくないわねぇ。<br>今すぐに、消し飛ばしたい気分よ。"""
st_058120_0150#0,"""きみ、遊び相手が欲しいだけでしょ？<br>だったらぼくがめいっぱい遊んであげる。"""
st_058120_0160#0,"""好きなだけ遊んであげるね。<br>あなたが壊れるまで、ずーっと。"""
st_058120_0170#0,"""協力してくれるのか？"""
st_058120_0180#0,"""任せてもいいのか？"""
st_058120_0190#0,"""オレは、気にくわねぇ奴を<br>ぶっ潰したいだけだ！<br>勘違いするんじゃねェぞ！"""
st_058120_0200#0,"""解釈は好きにするといい。<br>ただし、ハリエットを救えなければ<br>君との協力関係もそこまでだ。"""
st_058120_0210#0,"""なんでもかんでも思い通りにいくと<br>思っているお子様の目論見を崩すの<br>とっても楽しいじゃない？"""
st_058120_0220#0,"""利用するだけ利用して、自分は何も<br>おとがめなしは、だめだもんね。"""
st_058120_0230#0,"""そう。そんなのずるいもん。<br>ぜーんぶ、やりかえしてあげないと。"""
st_058120_0240#0,"""行け、『出来損ない』！<br>僕の『最高傑作』を救ってみせろ！"""
st_058120_0250#0,"""おっとォ、何よそ見してんだテメェ！"""
st_058120_0260#0,"""きみの遊び相手はこっちだよ？"""
st_058120_0270#0,"""めいっぱい遊んでいってよね？"""
st_058120_0280#0,"""ふふっ、この美貌から<br>目を逸らしていいのかしらぁ？"""
st_058120_0290#0,"""……さて。<br>不出来な玩具を、処分するとしよう。"""
name01#0,"""【若人】"""
name02#0,"""フロー"""
name03#0,"""フラウ"""
