GREET_RANGE#0,"""......อะไรล่ะ"""
GREET_SHOP_OPEN#0,"""......ต้องการเค้กมั้ย?"""
GREET_SHOP_DISABLE#0,"""......ผู้ที่ไม่ใช่ผู้มีพระคุณก็ No, thank you"""
GREET_SHOP_CLOSE#0,"""......ไว้แวะมาใหม่ล่ะ"""
GREET_RANGE#1,"""……なによ。"""
GREET_SHOP_OPEN#1,"""……ケーキいる？"""
GREET_SHOP_DISABLE#1,"""……恩人以外はノーサンキュー。"""
GREET_SHOP_CLOSE#1,"""……じゃぁ、また。"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""ทำการสนทนา"""
C_ORDER_ST#0,"""ฟังคำปรึกษา"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
