Title#0,"""Tainted Dragorii Eradication"""
Explanation#0,"""มีรายงานจำนวนมากว่าdragorii Skyscape ถูก Dragorii โจมตี<br>ภารกิจนี้ถือว่ามีความอัตรายมาก<br>นักรบชาว ARKS จงมุ่งหน้าไปยัง Skyscape<br>อย่างเร่งด่วนเพื่อปราบ dragorii เสีย<br>----------------------------------------<br>จะผ่านเควสโดยสะสม 180 Quest Point <br>โดยมาจาการกำจัด Dragorii."""
Title#1,"""凶暴化龍族鎮圧"""
Explanation#1,"""惑星アムドゥスキア、浮遊大陸にて<br>凶暴化した龍族に襲撃されるという<br>報告が後を絶たない。<br>ダーカーの存在も確認されているため<br>その影響と考えるのが妥当だろう。<br>アークス各員は至急浮遊大陸へと向かい<br>凶暴化した龍族の鎮圧に務めよ。<br>――――――――――――――――――――<br>クエストポイント【180】達成でクリア<br>主に龍族の撃破でポイント獲得"""
SimpleExplanation#0,"""กำจัด dragorii เพื่อรับคะแนน Quest points!"""
SimpleExplanation#1,"""龍族を撃退し<br>クエストポイントをためろ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
