Title#0,"""ハンターの基礎"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：フォトンアーツのジャストアタック<br>課題２：ジャストガード訓練<br>課題３：ソードのギア訓練<br>課題４：ワイヤードランスのギア訓練<br>課題５：パルチザンのギア訓練<br>課題６：実戦訓練"""
SimpleExplanation#0,"""６つの課題を達成せよ！"""
Training1#0,"""ジャストアタックPAを成功させる"""
Training2#0,"""ジャストガードを成功させる"""
Training3#0,"""ギアをためてフォトンアーツ発動"""
Training4#0,"""ギアをためてフォトンアーツ発動"""
Training5#0,"""ギアをためてフォトンアーツ発動"""
Training6#0,"""エネミーを殲滅する"""
Retry_1#0,"""課題１"""
Retry_2#0,"""課題２"""
Retry_3#0,"""課題３"""
Retry_4#0,"""課題４"""
Retry_5#0,"""課題５"""
Retry_6#0,"""課題６"""
