un_012520_0005#0,"""【楽しんでいってねっ！】<br>仮テキスト"""
un_012520_0010#0,"""……続いて、本日のトピックスです。"""
un_012520_0020#0,"""アークスのイメージアーティストを<br>務める、歌手のクーナさん。"""
un_012520_0030#0,"""各アークスシップを巡っての<br>ライブツアーは大盛況の最中<br>佳境を迎えています。"""
un_012520_0040#0,"""明るく、激しく、鮮烈にっ！<br>楽しんでいってね！"""
un_012520_0050#0,"""そうそう、先に言っておくね！"""
un_012520_0060#0,"""ごめんねっ！<br>今日はアンコールなしっ！"""
un_012520_0070#0,"""それでも満足できるぐらい<br>必死に全力で歌うからねっ！"""
un_012520_0080#0,"""ちゃんとついてこないと<br>置いて行っちゃうよっ！"""
un_012520_0090#0,"""ああ……結局一度も<br>チケットが取れなかった……"""
un_012520_0100#0,"""各シップ一度きりだしな<br>次の機会を狙うしか！"""
un_012520_0110#0,"""しっかし、クーナちゃんが<br>アンコールなしってのも<br>珍しいなー……"""
