name_7436#0,"""ホルサ"""
ssn_015050_0001#0,"""この先遣隊は、ほとんどがエアリオのアークスだ。<br>リテム出身は、俺ぐらいだろう。"""
ssn_015050_0002#0,"""だから、彼らの輪に、どんどん入っていかないといけない。<br>孤立してしまっては、任務に支障をきたすからな。"""
ssn_015050_0101#0,"""聞いたぞ。<br>また大活躍だったんだってな？"""
ssn_015050_0102#0,"""隊員たちの間でも、<br>お前の話題でもちきりだ。"""
ssn_015050_0103#0,"""そこでお前に、頼みたいことがある。<br>人助けだと思って、聞いてくれないか？"""
ssn_015050_0201#0,"""赤いコンテナの調査、頼んだぞ。<br>中身を調べるだけでいい。"""
ssn_015050_0202#0,"""数は、なるべく多く頼みたい。<br>無論、クヴァリスにあるものだけが対象だ。"""
ssn_015050_0203#0,"""では、任せた。"""
ssn_015050_0301#0,"""なるほど……。まあ、仕方がない。<br>また今度、手伝ってくれ。"""
ssn_015050_0401#0,"""おお、しっかりとデータが取れているな。<br>これなら、隊長に良い報告ができる。"""
ssn_015050_0402#0,"""世話になったな、感謝する。<br>この貸しは、きちんと返すからな。"""
ssn_015050_0501#0,"""コンテナのデータ収集、助かった。<br>隊長も納得しているようだ。"""
ssn_015050_0502#0,"""リテムのアークスは、受けた恩をけっして忘れない。<br>なにか困ったことがあったら、言ってくれ。"""
