IncidentName#0,"""หลบหนีออกจากการกักขัง"""
TrialBeginMsg#0,"""กำจัด $(0) และหลบหนีออกจากการกักขัง!"""
TrialAbstract#0,"""กำจัด $(0) และหลบหนีออกจากการกักขัง!"""
IncidentName#1,"""隔離状況を打破せよ！"""
TrialBeginMsg#1,"""外敵を$(0)体討伐し、隔離状況を打破せよ！"""
TrialAbstract#1,"""外敵を$(0)体討伐し、隔離状況を打破せよ！"""
NpcComOnBegin#0,"""กับดักกักขังอย่างนั้นเหรอ....<br>จะส่งเครื่องมือพากลับไปให้เดี๋ยวนี้ล่ะ<br>ช่วยกำจัดศัตรูรอบๆก่อนด้วย"""
NpcComOnSuccess#0,"""/face2 ศัตรูถูกกำจัดแล้ว<br>กำลังส่งเครื่องมือไปให้ แล้วรีบมุ่งหน้าต่อไป"""
NpcComOnFailure#0,"""/face4 ดูเหมือนกับดักนี้ออกแบบมาดีมาก...<br>คงต้องรอเวลาอย่างเดียวแล้ว <br>หากหลุดออกมาแล้วรีบมุ่งหน้าไปต่อทันที"""
NpcComOnBegin#1,"""隔離用の罠……ですか。<br>復帰用のカタパルトを転送します。<br>外敵を排除してください。"""
NpcComOnSuccess#1,"""/face2 敵勢力排除を確認。<br>カタパルトを転送します。<br>先へ進んでください。"""
NpcComOnFailure#1,"""/face4 罠の目的は時間稼ぎ……ですね。<br>目的は達成されてしまったようです。<br>脱出し、先を急いでください。"""
NpcComOnBegin#2,"""กับดักกังขัง?<br>กำจัดศัตรูที่นั้นให้หมด แล้วเดี๋ยวจะส่งอุปกรณ์ช่วยเหลือไปให้"""
NpcComOnSuccess#2,"""ยืนยันการกำจัดศัตรู<br>หลบหนีออกมาแล้วมุ่งหน้าต่อไป"""
NpcComOnFailure#2,"""มันถ่วงเวลาเราได้ไม่น้อยเลย<br>กำลังส่ง Catapult ไปให้ รีบมุ่งหน้าต่อไปล่ะ"""
NpcComOnBegin#3,"""隔離用の罠か？\u3000小癪な真似を。<br>各員、その隔離島の外敵を掃討しろ。<br>後に脱出用の機器を転送する。"""
NpcComOnSuccess#3,"""よし、敵掃討を確認。<br>脱出し、先へ進め。"""
NpcComOnFailure#3,"""ちっ、目的は足止めだったか。<br>カタパルトを送る、先へ急げ。"""
NpcComOnBegin#4,"""หว่าๆๆ กับดักนี่นา!<br>ก่อนอื่นจัดการศัตรูบริเวณนั้นให้หมด <br>แล้วจะส่งเครื่องมือช่วงเหลือไปให้นะ"""
NpcComOnSuccess#4,"""/face2 กำลังส่ง Catapult!<br>เตรียมมุ่งหน้าต่อไปด้วย!"""
NpcComOnFailure#4,"""/face4 อืม... ดเหมือนมันออกแบบ<br>มาเพื่อถ่วงเวลาเราอย่างดีเลย...<br>รีบมุ่งหน้าต่อไปเถอะ!"""
NpcComOnBegin#5,"""わわっ、罠だ、罠ですよ！<br>脱出用の装置を送るために<br>まずは敵さんをやっつけてください！"""
NpcComOnSuccess#5,"""/face2 カタパルト転送しますー！<br>先に進んでください！"""
NpcComOnFailure#5,"""/face4 ううう……この罠の狙いは<br>あくまで時間稼ぎだったみたいです……<br>先に急いでください！"""
