text01#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
11_voice_NPC_5151_104#0,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text03#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text04#0,"""遵守演習的時間限制自然不在話下<br>試試看你能不能以較高的評價達成。<br>難易度就選擇最簡單的就好了。"""
text05#0,"""這樣既能留下記錄，也能得到報酬。<br>嘗試看看也不會吃虧的。"""
text01#1,"""バウンサーとは、近接戦闘を行う<br>支援役だ。その主戦武装のひとつに<br>ジェットブーツがある。"""
11_voice_NPC_5151_104#1,"""ジェットブーツは<br>脚部に装着する武装で、法撃依存だ。<br>テクニックのチャージも可能だ。"""
text03#1,"""攻撃方法は蹴りを主体としており<br>テクニックとPAを合わせて<br>戦うことができる。"""
text04#1,"""他にも説明はあるが、手っ取り早く<br>実践したほうがわかりもいいだろう。"""
text05#1,"""ジェットブーツは持っているか？<br>持っていなければ話にならない。<br>これを授けよう、まずは試してみろ。"""
text00#0,"""關於你實力優異的傳聞<br>已經多到讓我覺得有點厭煩了。"""
text01#2,"""我並不是懷疑你的實力<br>不過還是想靠自己的雙眼<br>實際確認吧看看？"""
text02#0,"""所以要麻煩你進行限時任務。<br>對，就是挑戰完成時間的那種任務。"""
text03#2,"""遵守演習的時間限制自然不在話下<br>試試看你能不能以較高的評價達成。<br>難易度就選擇最簡單的就好了。"""
text04#2,"""這樣既能留下記錄，也能得到報酬。<br>嘗試看看也不會吃虧的。"""
text00#1,"""『ジェットブーツ』について"""
text01#3,"""武器「ジェットブーツ」について説明します。<br><br>ジェットブーツは、近接攻撃とテクニックを<br>組み合わせて戦うことが出来る武器です。"""
text02#1,"""ジェットブーツ系の基本攻撃について、説明します。<br><br>ジェットブーツは、蹴りを主体としたアクロバティックな攻撃を<br>行うことができます。<br><br>また、ジェットブーツではジャンプをした後に空中で再度ジャンプを<br>することで、２段ジャンプを行うことが可能です。"""
text03#3,"""ジェットブーツで使用するテクニックについて、説明します。<br><br>ジェットブーツでは、テクニックを武器パレットに設定して<br>コンボに組み込むことが可能です。"""
text04#3,"""ジェットブーツ系のフォトンアーツの動きを見てみましょう。<br><br>ジェットブーツのフォトンアーツは<br>発動中に武器アクションを行うことで<br>派生技に発展することが特徴です。"""
