name01#0,"""Tia"""
name01#1,"""ティア"""
text00#0,"""ขอบคุณมากค่ะ<br>ช่วยได้มากเลย"""
text01#0,"""รับขอบที่สั่งเรียบร้อยแล้วค่ะ<br>คราวหน้าก็ฝากตัวด้วยนะคะ"""
text02#0,"""อืม ยอดเยี่ยม...ดีจัง<br>ขอบคุณมากนะคะ"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""ありがとうございます。<br>助かりました。"""
text01#1,"""頼んだ品、受け取りました。<br>またお願いします。"""
text02#1,"""うん、いい出来……助かります。<br>ありがとうございます。"""
text03#1,"""ありがとう03"""
text00#2,"""สุดยอด...<br>นี่มันสมบูรณ์แบบจริงๆ<br>คราวหน้าคงต้องขอรบกวนอีกนะคะ"""
text01#2,"""...สุดยอด ยิ่งกว่าที่คิดซะอีก<br>ขอบคุณมากนะคะ<br>อาจต้องไปขอรบกวนอีกนะ"""
text02#2,"""ดีกว่าที่คิดไว้เยอะเลยค่ะ<br>คิดถูกจริงๆที่ขอร้องคุณ<br>ขอบคุณมากค่ะ"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""すごい、綺麗……<br>なんていうか、完璧。<br>次も、ぜひまたおねがいします。"""
text01#3,"""……すごい、予想以上。<br>ありがとう、助かりました。<br>また頼むかもしれないです。"""
text02#3,"""思った以上の出来です。<br>あなたに頼んで正解だったかも。<br>ありがとう。"""
text03#3,"""本当にありがとう03"""
