st_056190_0010#0,"""……ふうん、【若人】に関係のある<br>四人が喚び出されてしまった、ね。"""
st_056190_0020#0,"""この世界のことといい<br>にわかには信じがたいけど……<br>こう体験してしまうと、流石にね。"""
st_056190_0030#0,"""……そうなると、【若人】四人を<br>喚び出せる、あの偉そうな子は何？"""
st_056190_0040#0,"""私はてっきり、アウロラさん自身か<br>関係の深い方と思っていたんですが……"""
st_056190_0050#0,"""そりゃあアタシは原初の【若人】だし<br>今までの経緯から、関係ありそうって<br>思うだろうけどさ。"""
st_056190_0060#0,"""アタシ自身でないのは見ての通り。<br>そしてもちろんアタシは<br>こんなお馬鹿さん、知らない。"""
st_056190_0070#0,"""あーっ、またバカって言った！<br>不敬って何度言えば理解できるのバカ！"""
st_056190_0080#0,"""うるっさいわねえ！<br>馬鹿にはちゃんと馬鹿って言わないと<br>通じないでしょ！\u3000馬鹿なんだから！"""
st_056190_0090#0,"""……端から見てると<br>生き写しのように見えるんですが。"""
st_056190_0100#0,"""同族嫌悪って言葉もあるしね。<br>【若人】に選ばれる存在だから<br>性格も似てるってことでしょう。"""
st_056190_0110#0,"""ところで、あたしたちはどうやったら<br>アークスシップに戻れるのかしら？"""
st_056190_0120#0,"""あ……確かに。<br>他のみなさんは、倒すことで解放されて<br>元の世界に戻っていってましたが……"""
st_056190_0130#0,"""えぇー、痛い思いしなきゃいけないの？<br>そんなアヤしい趣味<br>持ってないんだけどー？"""
st_056190_0140#0,"""以前、どこかの誰かが<br>「痛い方が救われるから」とか<br>言ってた気がするわね。"""
st_056190_0150#0,"""ユクちゃんうるさい！<br>……アタシたちを喚んだ馬鹿王<br>アンタ、なんとかしなさいよ。"""
st_056190_0160#0,"""も、戻し方なんて知るわけないでしょ！<br>それどころか、どうやって喚んだのかも<br>よくわからないってーの！"""
st_056190_0170#0,"""居直ってるんじゃないわよ！"""
st_056190_0180#0,"""ま、まあまあ<br>お二人とも、落ちついてください。"""
st_056190_0190#0,"""召喚術の手法をとっているなら<br>同じ場で、同じ召喚陣を用いて<br>戻すことも可能なはずです。"""
st_056190_0200#0,"""あ、それなら王宮よ、王宮！<br>早く行きましょう！<br>それと退避令の解除も急がないと！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
