ssc_501060_0010#0,"""あっ、<%me>。"""
ssc_501060_0020#0,"""ちょうどいいや。<br>ちょっとお話しできるかな？"""
ssc_501060_0030#0,"""<%me>は、リテムの人たちのこと、<br>どう思ってる？"""
ssc_501060_0040#0,"""みんな、いい人たち。"""
ssc_501060_0050#0,"""どうって？"""
ssc_501060_0060#0,"""そうだよね。<br>あたしもそう思う。"""
ssc_501060_0070#0,"""その……話してみたら、<br>みんないい人たちだなって。"""
ssc_501060_0080#0,"""あたし、最初の頃は、<br>怖い人たちなのかなって思ってたんだ。"""
ssc_501060_0090#0,"""エアリオより、戦いがずっと身近にあって、<br>強い人がエラいみたいな感じだから……。"""
ssc_501060_0100#0,"""力で、みんながしばられてるんじゃないかって。"""
ssc_501060_0110#0,"""ここに着いたときは、レヌス・リテムの攻撃を受けて、<br>みんなピリピリしてたでしょ？"""
ssc_501060_0120#0,"""あたしたちみたいな、<br>よそ者の相手をしてるヒマはないって感じだったし。"""
ssc_501060_0130#0,"""でも、話しているうちに、<br>そうじゃないってわかったの。"""
ssc_501060_0140#0,"""思い切って話しかけてみたら、<br>みんな親切にしてくれて。"""
ssc_501060_0150#0,"""砂漠の歩きかたとか、<br>どこで野菜が採れるかとか……。"""
ssc_501060_0160#0,"""ほかにも、注意しなくちゃいけないエネミーのこととか、<br>リテムで生きていく方法を、いろいろと教えてくれたんだ。"""
ssc_501060_0170#0,"""エアリオについて聞いてくる人も、<br>けっこういたかな。"""
ssc_501060_0180#0,"""これまで、ほとんど交流がなかったけど、<br>外のことには興味があるみたい。"""
ssc_501060_0190#0,"""みんな、戦いが続いてて、<br>ゆっくりする余裕がないだけなんだよね。"""
ssc_501060_0200#0,"""強くてエラい人たちも、<br>威張ったりしてなくて。"""
ssc_501060_0210#0,"""仲間思いで、弱い人を守ったり、<br>困ってる人を助けたりしてた。"""
ssc_501060_0220#0,"""それと、<br>ナーデレフの話もよく聞いたな。"""
ssc_501060_0230#0,"""彼女のことを気にかけてて、<br>みんなで支えようとしてるのがわかったよ。"""
ssc_501060_0240#0,"""リーダーとして、<br>本当に信頼、尊敬されてるんだね。"""
ssc_501060_0250#0,"""リテムシティ全体で、<br>一体感みたいなのをすごく感じる。"""
ssc_501060_0260#0,"""……よく考えたら、<br>それってエアリオタウンのみんなと似てるなぁ。"""
ssc_501060_0270#0,"""フフ、なんだか、<br>新しい故郷ができたみたいな感じだね。"""
ssc_501060_0280#0,"""あたしも、リテムアークスの一員として、<br>認めてもらうために、しっかりしないと。"""
ssc_501060_0290#0,"""よーし、頑張るぞ！"""
