IncidentName#0,"""หยุดการทำงานของระเบิดเวลา"""
TrialBeginMsg#0,"""หยุดการทำงานของระเบิดเวลาทั้งหมด!"""
TrialAbstract#0,"""หยุดการทำงานของระเบิดเวลาทั้งหมด!"""
ToastOnHalfFinish#0,"""เหลือระเบิดเวลาอีกครึ่งนึงของทั้งหมด"""
ToastOnLast#0,"""เหลือระเบิดเวลาอีกอันเดียว"""
ToastCollect#0,"""$(0) ได้หยุดการทำงานของระเบิดเวลา"""
ToastCollect2#0,"""ระเบิดเวลาได้หยุดการทำงาน"""
ToastRewards#0,"""$(0) ได้รับ $(1) EXP และ $(2) Meseta"""
IncidentName#1,"""時限爆弾解除"""
TrialBeginMsg#1,"""全ての時限爆弾を解除せよ！"""
TrialAbstract#1,"""全ての時限爆弾を解除せよ！"""
ToastOnHalfFinish#1,"""時限爆弾残存数、あと半分。"""
ToastOnLast#1,"""時限爆弾残存数、あと１つ。"""
ToastCollect#1,"""$(0)によって時限爆弾が解除されました。"""
ToastCollect2#1,"""時限爆弾が解除されました。"""
ToastRewards#1,"""$(0)が$(1)EXP $(2)メセタ獲得"""
NpcComOnBegin#0,"""เราได้ตรวจพบระเบิดเวลาที่ถูกติดตั้งโดยพวก D-arker<br>ท่านต้องไปจัดการกับพวกมันก่อนมันจะระเบิด"""
NpcComOnBegin2#0,"""ระเบิดเวลาพวกนี้สามารถหยุดได้หากเรารู้วิธีที่ถูกต้อง<br>ท่านต้องตรวจสอบมันดู"""
NpcComOnSuccess#0,"""ระเบิดเวลาทั้งหมดได้ถูกหยุดลงแล้ว<br>ทำได้ดีมาก"""
NpcComOnFailure#0,"""ระเบิดเวลาได้ทำงานและระเบิดแล้ว<br>...ท่านเป็นอะไรมากไหม?"""
NpcComOnLastHalf#0,"""ท่านได้หยุดการทำงานของระเบิดเวลาได้ครึ่งนึงแล้ว<br>ทำมันต่อไปจนกว่าจะครบ"""
NpcComOnLastOne#0,"""เหลืออีกแค่ลูกเดียวเท่านั้น!"""
NpcComOnCorrect#0,"""ระเบิดเวลาได้สงบลงและไม่มีอันตรายแล้ว<br>การปลดชนวนสำเร็จ"""
NpcComOnIncorrect#0,"""ดูเหมือนท่านจะทำไม่ถูกวิธี<br>แต่คงต้องใช้เวลานานหน่อยกว่าจะลองใหม่ได้อีกครั้ง"""
NpcComOnRemain30#0,"""มีเวลาอีกแค่ 30 วินาทีก่อนมันจะระเบิด!<br>รีบจัดการกับพวกมันเร็วเข้า """
NpcComOnJoin#0,"""เรากำลังจัดการกับระเบิดเวลาของ D-arker<br>โปรดร่วมมือกันด้วย"""
NpcComOnBegin#1,"""ダーカーによる時限式の爆弾が出現。<br>すでに複数個が確認されています。<br>何としても、爆発前に対処して下さい。"""
NpcComOnBegin2#1,"""時限爆弾は威力こそ高いですが<br>仕組みを理解すれば解除可能です。<br>よく、その爆弾を調べてみて下さい。"""
NpcComOnSuccess#1,"""全ての時限爆弾の解除を確認。<br>お疲れ様でした。"""
NpcComOnFailure#1,"""時限爆弾、爆発を検知。<br>……無事、でしょうか？"""
