name01#0,"""市民"""
st_053090_0010#0,"""おお、ハリエット様！<br>こんなところに下りてきていいのかい？"""
st_053090_0020#0,"""あらダメだよ！<br>これからは王様ってお呼びしないと！"""
st_053090_0030#0,"""ああっとそうだった！<br>王様になったんだもんな、ハリエット様は！"""
st_053090_0040#0,"""だーかーらー……！"""
st_053090_0050#0,"""ふふっ。<br>未熟で駆けだしたばかりの王ですので<br>今まで通り、ハリエットでいいですよ。"""
st_053090_0060#0,"""ハリエットさま！\u3000ハリエットさま！<br>おうさまってなにー？"""
st_053090_0070#0,"""んー、王様っていうのはね<br>みんなの代表者、って感じかなあ。"""
st_053090_0080#0,"""えらいの？\u3000すごいの？"""
st_053090_0090#0,"""えらくもないし、すごくもない。<br>みんなと同じで、ちょっとだけ<br>目立つ場所にいるぐらい、かな？"""
st_053090_0100#0,"""ふーん、ハリエットさま<br>めだちたがりなの？"""
st_053090_0110#0,"""えっと……うん、目立ちたがり、です！<br>ただ、ひとりだと恥ずかしいから<br>みんな応援してくれるとうれしいな？"""
st_053090_0120#0,"""もちろん！\u3000なー！"""
st_053090_0130#0,"""なー！"""
st_053090_0140#0,"""ハリエット様！"""
st_053090_0150#0,"""ハリエット様！"""
st_053090_0160#0,"""ハリエット様。"""
st_053090_0170#0,"""ハリエットさま！"""
st_053090_0180#0,"""次から次へと人が寄ってきますね……<br>すっごく慕われてるじゃないですか。"""
st_053090_0190#0,"""民に慕われている……とは<br>少し違うかもしれません。"""
st_053090_0200#0,"""宰相ルツ……いえ、前王は<br>国威を保つために<br>民に負担を強いていましたので……"""
st_053090_0210#0,"""かの王から解放された、という熱狂。<br>そして、これからの統治に対する<br>期待のあらわれだと思います。"""
st_053090_0220#0,"""それに、私は幼少時からこっそり<br>市街地に足を運んでいたので<br>見知った方が多いんですよ。"""
st_053090_0230#0,"""為政者の人となりを知っている。<br>それは民にとって、安心なのです。"""
st_053090_0240#0,"""ゆえに、私達を支えてくれる。<br>私達はそれに応える義務がある。"""
st_053090_0250#0,"""国を取り戻すのは、第一歩。<br>民を幸せにするのは、王族として<br>当たり前の義務です。"""
st_053090_0260#0,"""そして、民の信頼に応えるのと同時に<br>やらねばならないことがあります。"""
st_053090_0270#0,"""私とルーサーの目的は<br>エフィメラの封印、ですから。"""
