st_058030_0010#0,"""急げー！"""
st_058030_0020#0,"""早くしろー！"""
st_058030_0030#0,"""離れずについてきなさい！"""
st_058030_0040#0,"""わ、わ、わ！<br>な、なんだかバタバタしてますね。<br>混乱……って感じじゃないですけど。"""
st_058030_0050#0,"""はいはーい、準備ができた人から<br>西へ移動よ、大移動ー！<br>荷物は必要最低限だからねー！"""
st_058030_0060#0,"""この地は再び戦場となる可能性があります。<br>皆さんを守るため、一時の避難を受け入れて<br>いただけないでしょうか。"""
st_058030_0070#0,"""慌てず騒がずゆーっくり！<br>わからないことはウチの近衛兵達に<br>気軽に聞けば、気軽に答えるわよー！"""
st_058030_0080#0,"""この声……マルさん！？<br>それに、アリサさんまで！<br>王城です、急ぎましょう！"""
st_058030_0090#0,"""マルさん！"""
st_058030_0100#0,"""そのこなれた不敬さ……！<br>やっと来たわね妖精っ！"""
st_058030_0110#0,"""そして、守護輝士。<br>お待ちしておりました。"""
st_058030_0120#0,"""二人とも、どうしてここに？"""
st_058030_0130#0,"""ここで何をやってるんだ？"""
st_058030_0140#0,"""見ての通り、クエント国民の<br>避難誘導よ。"""
st_058030_0150#0,"""アタシだけじゃ、クエント国民は<br>いまいち信じきれないだろうし<br>剣の巫女にも協力してもらってるの。"""
st_058030_0160#0,"""避難誘導って……マルさんは<br>何が起きているのかわかってるんですか？"""
st_058030_0170#0,"""何が起きてるのかは知らない。<br>けど、ヤバいことになってるのはわかる。<br>遠目にも見えるでしょ、あの黒い繭。"""
st_058030_0180#0,"""あれを中心に、黒い水があふれてきてる。<br>そこから魔物や魔神城が際限なしに出てきて<br>現地の方は大混乱よ。"""
st_058030_0190#0,"""出てきたの倒してもきりがないから<br>入ってこられないように、壁を張って<br>その間に国民総移動。西へと退避中。"""
st_058030_0200#0,"""エピックはいつだって移民ウェルカムよ！<br>人が住むには過酷な地だけどね！"""
st_058030_0210#0,"""邪竜に関わりなく<br>剣は力を貸してくれています。<br>つまり、それほどの事態だということです。"""
st_058030_0220#0,"""……剣は言います。あれは災厄の顕現と。<br>紅き邪竜を超える脅威が、胎動していると。"""
st_058030_0230#0,"""しかもこういうときに率先して動く<br>ハリエットが行方知れず、なんでしょ？<br>だったらアタシが気張るしかないじゃない。"""
st_058030_0240#0,"""あの子居たら、まず真っ先に国民を<br>安全な場所に逃がすでしょ。<br>だからそれを代理でやってあげてるの。"""
st_058030_0250#0,"""はい、そっちの質問には答えたわよ。<br>それじゃあ次はアタシが質問。"""
st_058030_0255#0,"""……ハリエットは、何処？"""
st_058030_0260#0,"""……それは。"""
st_058030_0270#0,"""……取り込まれたのですね。<br>あの、黒い繭に。"""
st_058030_0280#0,"""何で分かるの、って顔すんな。<br>状況を考えれば、当然のことよ。"""
st_058030_0290#0,"""この事態になっても<br>ハリエットが戻らない。<br>彼女自身に何かがあったのは明白。"""
st_058030_0300#0,"""怪我ならアナタが離れるはずがない。<br>死んだなら先にそう報告してるでしょ。<br>となると、攫われたが妥当なところ。"""
st_058030_0310#0,"""そして、アタシたちにまず最初に<br>現状の説明を求めてきた。<br>場所の特定を急ぐ必要がない。"""
st_058030_0320#0,"""つまり、攫われた場所もわかってる。<br>そんなの現状だと、一つしかない。"""
st_058030_0330#0,"""……すごいです、マルさん。"""
st_058030_0340#0,"""伊達に心操の秘薬作ってた国の<br>王様やってないわよ、アタシは。"""
st_058030_0350#0,"""……アンタたちが<br>迷ってるのも、わかる。"""
st_058030_0360#0,"""だから、アタシは王として<br>思いっきり背中を押してあげるわ！"""
st_058030_0370#0,"""何をすればいいかなんて<br>わかりきってる！"""
st_058030_0380#0,"""アレがないときは問題なし！<br>アレがあるときは問題あり！<br>つまり、アレをなんとかするだけ！"""
st_058030_0390#0,"""でも、あの黒い繭には<br>ハリエットさんが……"""
st_058030_0400#0,"""そこはー……うーん、まあ<br>守護輝士に一任っ！"""
st_058030_0410#0,"""軽っ！"""
st_058030_0420#0,"""うっさい妖精、それしかないでしょーが！<br>アタシたちにどうしようもないことを<br>守護輝士はなんとかしてくれたんだから！"""
st_058030_0430#0,"""……エピック神王の仰るとおりです。<br>守護輝士は不可能を可能に<br>し続けてきました。"""
st_058030_0440#0,"""紅き邪竜を討ち祓い<br>その内に取り込まれていた<br>叔父上を、救ってくれました。"""
st_058030_0450#0,"""闇に取り込まれていた<br>アタシも救ってみせた。"""
st_058030_0460#0,"""それに、アンタの功績は<br>それだけじゃない。"""
st_058030_0470#0,"""「何を信じる？」って言われたら<br>いの一番に「守護輝士を信じる」が<br>妥当でしょーが！"""
st_058030_0480#0,"""それを信じて、そのために協力する！<br>その結果がどうなろうともそれは<br>「信じた結果」ってだけの話よ！"""
st_058030_0490#0,"""そこでアンタが<br>責任を感じる必要はないし<br>その行いをためらう必要もない。"""
st_058030_0500#0,"""決断の責任を負うのは<br>王たるアタシと、ハリエットなの。"""
st_058030_0510#0,"""マルさん……"""
st_058030_0520#0,"""ふ・け・い！<br>名前はちゃんと呼びなさい！"""
st_058030_0530#0,"""守護輝士。<br>貴方なら、できます。"""
st_058030_0540#0,"""剣は、そう言っています。<br>幾度も繰り返してきた奇跡を<br>今再び、ここで起こすだけだ、と。"""
st_058030_0550#0,"""いいえ、剣が言わずとも……<br>私が……アリサがそう、思います。"""
