un_025090_0001#0,"""A.P. 228/7/11"""
un_025090_0010#0,"""......it's quite a nuissance trying to take <br>on this number on my own."""
un_025090_0020#0,"""......turned out to be a hell of a drill."""
un_025090_0030#0,"""What......!?<br>You......you're that guy from the other day!"""
un_025090_0040#0,"""Man, I'm saved. <br>It's been battle after battle and I'm surrounded<br>now, and my balls were just starting to shrink, <br>to be honest with ya."""
un_025090_0050#0,"""Oh, my bad. <br>I didn't even introduce myself."""
un_025090_0055#0,"""I'm Zeno. And you?"""
un_025090_0060#0,"""We shouldn't be carelessly dropping information <br>about the future to the past<br>......just wing it."""
un_025090_0070#0,"""1. I'm on a top secret mission, can't tell you"""
un_025090_0080#0,"""2. You can call me anything"""
un_025090_0090#0,"""......classified mission, eh.<br>I guess you can't tell me your name then."""
un_025090_0100#0,"""So, can I make up a name for you?"""
un_025090_0110#0,"""You're hiding your name? <br>Are you on a top secret mission or something?<br>Hm, what to call you then. """
un_025090_0120#0,"""The powerful ARKS......a bit long.<br>Teacher......not quite. <br>What sits better......"""
un_025090_0130#0,"""......right then! Master it is! <br>You're crazy strong, so I'm going to<br>call you the Master!"""
un_025090_0140#0,"""Thanks for helping me out, Master."""
un_025090_0150#0,"""Hehe, seems like it'll be easier asking<br>you stuff when I'm calling you Master!"""
un_025090_0160#0,"""So, Master, I wanted to ask you......"""
un_025090_0170#0,"""Tsk, not a call from Echo again!<br>And she won't shut up if I leave it......<br>......oh, well. """
un_025090_0180#0,"""Master, next time we meet I want to <br>hear everything, like how you got that <br>strong, please! """
un_025090_0201#0,"""???"""
un_025090_0001#1,"""A.P.228/7/11"""
un_025090_0010#1,"""……こんだけの数を一人ってなると<br>ちょっと面倒だな。"""
un_025090_0020#1,"""……まったく<br>とんだ演習になっちまったぜ。"""
un_025090_0030#1,"""え……！？<br>あんた……この前の！"""
un_025090_0040#1,"""いやあ、助かった助かった。<br>連戦連戦でさらに囲まれたから<br>正直、肝が冷えてたんだよ。"""
un_025090_0050#1,"""ああっと、悪い。<br>自己紹介がまだだったな。"""
un_025090_0055#1,"""オレはゼノっていうんだ。<br>あんたは？"""
un_025090_0060#1,"""無闇矢鱈に未来の情報を<br>過去に落としてきちゃだめだよ。<br>……適当にはぐらかして。"""
un_025090_0070#1,"""１．極秘任務中だから、秘密"""
un_025090_0080#1,"""２．好きに呼んでいいよ"""
un_025090_0090#1,"""……極秘任務中か。<br>そりゃ名前も言えないよな。"""
un_025090_0100#1,"""じゃあ、何て呼ぶか<br>オレが決めちゃってもいいか？"""
un_025090_0110#1,"""名前、隠してるのか？<br>極秘任務中とか？<br>んー、それじゃあなんて呼ぶかな。"""
un_025090_0120#1,"""強いアークスさん……は長い。<br>先生……は違うか。<br>もっとしっくり来る何か……"""
un_025090_0130#1,"""……よし！　師匠だ！<br>あんた、ムチャクチャ強いから<br>オレはあんたを師匠って呼ぶ！"""
un_025090_0140#1,"""助けてくれてありがとな、師匠。"""
un_025090_0150#1,"""へへっ、師匠って呼ぶと<br>なんだかいろいろ<br>聞きやすい気がしてくるな！"""
un_025090_0160#1,"""さっそくだが師匠<br>ちょっと聞きたいことが……"""
un_025090_0170#1,"""って、エコーからの通信かよ！<br>ほっとくとうるせえし……<br>……あーもう、仕方ねえ！"""
un_025090_0180#1,"""師匠、今度会った時には<br>強くなる秘訣とかそういうの<br>たくさん聞かせてくれよ！"""
un_025090_0201#1,"""？？？"""
