Title_DeadMenu#0,"""無法戰鬥狀態菜單"""
Label_Return#0,"""回到營地小船"""
Label_Revival#0,"""原地復活"""
Title_Return#0,"""回到營地小船"""
Message_Return#0,"""回到營地小船。<br>是否確定？"""
Message_Return_NoReward#0,"""回到營地小船。<br>是否確定？<br><br><red>只要回到營地小船，就不能再領取任何報酬。<c>"""
Title_Revival#0,"""原地復活"""
Message_Revival#0,"""確定原地復活麼？"""
Message_Revival_NoReward#0,"""確定原地復活麼？<br><br><red>※復活一次以後<br>就無法獲取報酬了。<c>"""
Message_ReturnFailure#0,"""目前無法回到營地小船。 """
Message_RevivalFailure#0,"""現在無法復活。"""
Label_Failure#0,"""放棄任務"""
Message_Failure#0,"""是否確定放棄任務？"""
Label_FailurePartyExit#0,"""放棄任務（退出隊伍）"""
Message_FailurePartyExit#0,"""是否要放棄任務並退出隊伍？"""
Label_Chat#0,"""聊天"""
Label_UseHalf#0,"""使用半身人偶並復活"""
Title_HalfDollUse#0,"""使用半身人偶"""
Message_HalfDollUse#0,"""是否要使用半身人偶並復活？<br><br><yellow>※半身人偶還有剩餘(1)次的可使用次數。<br>　使用次數會隨著返回營地小船而回復。<c><br>（所持数：$(0)）"""
Message_HalfDollNotRemain#0,"""因半身人偶的使用次數為$(1)次、無法復活。<br><br><yellow>※返回營地小船時可恢復$(2)次使用次數。<c><br>（所持数：$(0)）"""
Message_HalfDollNotHave#0,"""因身上未持有半身人偶、無法進行復活操作。<br><br><yellow>※只要身上持有半身人偶<br>　就可以使用到直至$(0)次為止并復活角色。<br>　可通過返回營地小船以回復使用次數。<c>"""
Message_CanNowUseHalfDoll#0,"""回復了半身人偶的使用次數。"""
Message_Revive_count#0,"""10秒後自動復活。"""
Message_Revive_count_5#0,"""5秒後自動復活。"""
Message_Revive_count_Time#0,"""$(0)秒後自動復活。"""
Title_RetryConform#0,"""重試菜單"""
Label_Retry#0,"""進行重試"""
Title_RetrySelect#0,"""重試選擇"""
Message_Retry#0,"""要重試任務麼？<br><br><red>※重試後任務會回到開始前的狀態。<c>"""
FastTravelTerminal_Revival#0,"""返回傳送信標"""
FastTravelTerminal_Revival_NoReward#0,"""確定返回傳送信標麼？"""
