name_7400#0,"""デュアドラ"""
ssn_014271_0001#0,"""わかった。説明しよう。"""
ssn_014271_0101#0,"""……ん？<br>クラスがブレイバーじゃないようだね。"""
ssn_014271_0102#0,"""戦い方を学びたければ、“クラスカウンター”で、<br>クラスをブレイバーに変更してきてくれないか。"""
ssn_014271_0103#0,"""あと、ブレイバーの“クラススキル”も<br>しっかり覚えてくるように。"""
ssn_014271_0104#0,"""でもまあ、その前にブレイバーについて、<br>話だけはしておこう。"""
ssn_014271_0201#0,"""ブレイバーは、近距離と遠距離、<br>どちらの戦いにも長けている。"""
ssn_014271_0202#0,"""近距離ではカタナを、遠距離ではバレットボウを<br>臨機応変に使いわけて戦うんだ。"""
ssn_014271_0203#0,"""ひとつひとつの攻撃はシンプルだけど、奥が深い。"""
ssn_014271_0204#0,"""あと、他のクラス同様、クラススキルも重要だ。<br>まずは、“ブレイブコンバット”をマスターするといいだろう。"""
ssn_014271_0205#0,"""とりあえず、課題を出すからやってみてくれ。"""
