IncidentName#0,"""解析爆裂膠"""
TrialBeginMsg#0,"""在4枚重疊爆炸前將其破壞！"""
TrialAbstract#0,"""在4枚重疊爆炸前將其破壞！"""
NpcComOnBegin#0,"""發現爆裂膠反應。<br>將落下的個體破壞<br>收集資料。"""
NpcComOnAfterBegin#0,"""爆裂膠若重疊<br>則會開始融合，4枚重疊以後<br>則會發生爆炸。請提高警覺。"""
NpcComOnSuccess#0,"""/face2 達成目標解析率。<br>這次的資料收集成功了。"""
NpcComOnFailure#0,"""/face4 周圍反應完全消失。<br>無法再進行資料解析。<br>請回到平時任務。"""
NpcComOnDanger#0,"""發光的個體，是即將爆炸的徵兆<br>其包含了在解析上非常重要的資料。<br>請盡速破壞。"""
NpcComOnFirstExplode#0,"""......還好吧？<br>爆裂膠的爆炸，與個體顏色和<br>重疊數量有關。"""
NpcComOnHalf#0,"""距離達成目標解析率還剩一半。<br>請繼續進行解析。"""
NpcComOnFinalNotice#0,"""周圍的反應已經慢慢減少。<br>請慎重地將爆裂膠破壞<br>並收集資料。"""
NpcComOnBegin#1,"""這裡是爆裂膠的聚集地。<br>將落下的個體破壞<br>並收集資料。"""
NpcComOnAfterBegin#1,"""這些傢伙們具有一旦重疊就會合體<br>若4枚重疊就會爆炸的特性。<br>小心呀。"""
NpcComOnSuccess#1,"""已達成目標解析率。<br>這次的資料已收集足夠。<br>表現得很好。"""
NpcComOnFailure#1,"""周圍的反應完全消失。<br>似乎無法再繼續了。<br>回歸正常任務。"""
NpcComOnDanger#1,"""其中分析重疊並發光<br>個體的資料最為有效。<br>迅速將它破壞掉。"""
NpcComOnFirstExplode#1,"""確認爆裂膠爆炸。<br>個體顏色似乎與爆炸的屬性<br>有關聯。"""
NpcComOnHalf#1,"""已達到目標解析率的一半。<br>請繼續進行解析。"""
NpcComOnFinalNotice#1,"""周圍的反應已經慢慢減少。<br>請不要遺漏將其完全破壞<br>並收集資料。"""
NpcComOnBegin#2,"""有濕黏的東西掉下來了！<br>請務必將其破壞，收集資料<br>以利建立對策！"""
NpcComOnAfterBegin#2,"""發光時的資料非常貴重！<br>但是，若再重疊上去<br>就可能會爆炸，請提高警覺。"""
NpcComOnSuccess#2,"""/face2 已經收集到不少資料了。<br>辛苦了。"""
NpcComOnFailure#2,"""/face4 啊啊啊......反應完全消失了。<br>好像失敗了。"""
NpcComOnDanger#2,"""發現發光的個體！<br>再繼續增大<br>就會爆炸了！　請提高警覺！"""
NpcComOnFirstExplode#2,"""哇，爆炸了！<br>您沒事吧？"""
NpcComOnHalf#2,"""/face2 感覺很順利。<br>就好好照這個樣子<br>繼續收集資料吧。"""
NpcComOnFinalNotice#2,"""反應逐漸減弱。<br>看來差不多不會再出現了......！"""
