IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""$(0)を倒せ！"""
TrialAbstract#0,"""$(0)を討伐せよ！"""
NpcComOnBegin#0,"""ダークファルス・ペルソナの姿を確認！<br>圧倒的な悪意と敵性反応です……！<br>必ず、この場で撃破してください。"""
NpcComOnSuccess#0,"""目標の反応消滅を確認しました。<br>撃破、成功です！"""
NpcComOnSpCharge#0,"""目標のエネルギー反応、急速に増加！<br>注意してください！"""
NpcComOnSpBegin#0,"""この反応は……強烈な攻撃が来ます！<br>警戒してください！"""
NpcComOnSpGuardSuccess#0,"""目標の体勢が崩れました！<br>今がチャンスです。<br>一気に畳みかけましょう！"""
NpcComOnSpGuardDraw#0,"""ご無事ですか！？<br>目標、健在です。<br>急いで態勢を立て直してください！"""
NpcComOnSpGuardFailure#0,"""……大丈夫ですかっ？<br>気を引き締めていきましょう！"""
NpcComOnDamage1#0,"""目標の残存体力、低下！"""
NpcComOnDamage2#0,"""目標残存体力、さらに低下！<br>あと少しです！"""
