name_7440#0,"""ハツカリ"""
ssn_015490_0001#0,"""ようこそ、スティアへ！"""
ssn_015490_0002#0,"""セントラルの連絡が、突然だったからよ。<br>受け入れ体制ができてなくて悪いな！"""
ssn_015490_0003#0,"""ほかのやつらは、どう思ってるか知らねぇが、<br>俺はお前らを歓迎するぜ！"""
ssn_015490_0101#0,"""よう！\u3000俺は、この先遣隊の戦闘団で、<br>第２小隊の隊長やってるハツカリってんだ。"""
ssn_015490_0102#0,"""慣れねぇ土地だってのに、いい活躍ぶりだな。<br>正直、こっちも助かってるぜ。"""
ssn_015490_0103#0,"""だが、スティアについては、<br>まだまだ知らねぇことが多いだろ？"""
ssn_015490_0104#0,"""厄介な敵について、<br>教えてやるから聞いていってくれ。"""
ssn_015490_0201#0,"""“ゾンネル”っていう、<br>厄介なのがいてよ。"""
ssn_015490_0202#0,"""周りの“ダズルポッド”を壊すまで、<br>本体に攻撃ができねぇ……。"""
ssn_015490_0203#0,"""もしも、見かけたら、<br>真っ先に倒すように！"""
ssn_015490_0301#0,"""んー、ほかに用でもあんのか？<br>じゃあ、またあとで声かけてくれや。"""
