ra_010610_0010#0,"""ท่าน <%me><br>ผมมีเรื่องจะรายงานครับ"""
ra_010610_0020#0,"""เกี่ยวกับลักษณะดินของ Naberius ที่ท่าน<br>ได้ไปตรวจสอบมาให้ผมเมื่อวันก่อนน่ะครับ<br>ยิ่งวิเคราะห์เท่าไหร่ก็ยิ่งพบความผิดปกติครับ"""
ra_010610_0030#0,"""ก่อนอื่นเลยก็คือลักษณะดินของดาวดวงนั้นมี <br>Greenscape เป็นส่วนพื้นฐานครับ ส่วน White Summit <br>นั้นเป็นภูมิประเทศที่เกิดขึ้นมาทีหลังครับ"""
ra_010610_0040#0,"""แต่ว่า สาเหตุของการเกิด White Summit นั้น<br>ปกติแล้วมันน่าจะต้องเกิดจากอุกกาบาตพุ่งชน<br>หรือเกิดจากสภาพอากาศผิดปกติครับ <br>......แต่ว่าผมก็ไม่พบร่องรอยพวกนั้นเลย"""
ra_010610_0050#0,"""......ยิ่งกว่านั้น ในบริเวณ White Summit<br>ยังมีสถานที่ที่ข้อมูลปรวนแปรจนไม่สามารถ<br>เก็บพารามิเตอร์ได้อยู่อีกด้วยครับ"""
ra_010610_0060#0,"""ราวกับว่าที่ตรงนั้น<br>มีการแจมมิ่งอยู่......"""
ra_010610_0070#0,"""......นี่ไม่ใช่การอนุมานอีกต่อไปแล้วล่ะครับ<br>ที่ดาวดวงนั้นมีอะไรแปลกๆ อยู่จริงๆ ครับ"""
ra_010610_0080#0,"""จากที่พวกเราได้ฟังกันมา...... Naberius<br>คือดาวที่มีแต่สัตว์ร้ายไร้อารยธรรม<br>ทว่า นี่มัน...... ข้อมูลนี้มัน......"""
ra_010610_0090#0,"""......ครั้งต่อไป ผมคิดว่าจะไปขออนุญาต<br>ดำเนินการตรวจสอบโดยตรงด้วยตนเองครับ<br>ผมเข้าใจดีครับว่ามันอันตราย"""
ra_010610_0100#0,"""เพียงแต่ว่า มีแค่ท่านเท่านั้นครับ<br>ที่ผมอยากจะบอกให้ฟังถึงผลลัพธ์<br>ของการตรวจสอบที่ผ่านมาจนถึงบัดนี้......"""
ra_010610_0110#0,"""......การวิจัยเองก็เสร็จไปแล้วเปลาะนึง<br>ผมก็เลยกะว่าจะโผล่หน้าไปที่ Lobby มั่งน่ะครับ<br>แล้วไว้พบกันใหม่นะครับ"""
ra_010610_0120#0,"""A.P.238/3/18"""
ra_010610_0010#1,"""<%me>さん<br>報告があります。"""
ra_010610_0020#1,"""先日調査していただいた<br>ナベリウスの地質などについてですが<br>分析するほど、異常さが見えてきます。"""
ra_010610_0030#1,"""まず、あの惑星は森林部の地質が<br>基礎となっています。<br>凍土は、後に生まれた地形です。"""
ra_010610_0040#1,"""しかし、凍土が生まれた原因……<br>普通なら隕石落下や異常気象などですが<br>……その痕跡が見当たらないのです。"""
ra_010610_0050#1,"""……さらに、凍土のなかでも<br>データのばらつきがあり、パラメータが<br>取得できていない場所もありました。"""
ra_010610_0060#1,"""まるで、ジャミングでも<br>されているかのように……"""
ra_010610_0070#1,"""……もはやこれは推論ではありません。<br>あの惑星は、何かがおかしいです。"""
ra_010610_0080#1,"""ナベリウス……未開の原始惑星と<br>私たちは聞かされてきました。<br>しかし、これは……このデータは……"""
ra_010610_0090#1,"""……私は今度、許可を得て<br>直接調査に行こうと思っています。<br>危険なのは、百も承知で。"""
ra_010610_0100#1,"""ただ、ここまでの調査結果を<br>他ならないあなただけには<br>お伝えしておきたくて……"""
ra_010610_0110#1,"""……研究も一段落しましたし<br>ロビーには顔を出すようにします。<br>また、会いましょう。"""
ra_010610_0120#1,"""A.P.238/3/18"""
