un_020170_0010#0,"""อุ๊สส หวัดดีจ้า"""
un_020170_0020#0,"""แหม ความรู้สึกจริงในสนามรบเนี่ย<br>แตกต่างจริงๆ เลยเนอะ สุดยอดไปเลย<br>แทบจะลืมเรื่องวุ่นวายไปหมดเลยล่ะ"""
un_020170_0030#0,"""ก็ดูสิ ช่วงนี้คนยั้วเยี้ยเลยใช่ม้า?<br>ไม่ว่าตรงไหนๆ ก็มีแต่คนลงมา<br>ลองวิชากันทั้งนั้น"""
un_020170_0040#0,"""แต่เรื่องที่น่าปวดหัวที่สุดก็คือเรื่องที่พวก<br>นักวิจารณ์ถกกันว่ามันถูกต้องหรือไม่นี่แหละ"""
un_020170_0050#0,"""ถึงจะถกเถียงว่าถูกต้องหรือไม่ไป<br>ข้อสรุปมันก็ไม่มีทางออกมาอยู่แล้ว<br>ทำตามใจตัวเองไปก็ได้นี่นา ทุกคนน่ะ"""
un_020170_0060#0,"""ความถูกต้องน่ะมันก็แล้วแต่คนจะคิด<br>ความไม่ถูกต้องเองก็เช่นกัน"""
un_020170_0070#0,"""ถ้ามีเวลาว่างมากจนต้องมา<br>นั่งวิจารณ์ความคิดของคนอื่นล่ะก็<br>เอาเวลาไปพัฒนาตัวเองดีกว่ามั้ย"""
un_020170_0080#0,"""แต่จะว่าไป การที่ยังมีช่องโหว่<br>ให้คนอื่นเค้าวิจารณ์เอาได้เนี่ย<br>แสดงว่าความสามารถของชั้นยังไม่พอล่ะมั้ง?"""
un_020170_0090#0,"""แต่เอาเห๊อะ เรื่องหยุมหยิมไม่อยากเอามาคิด<br>แค่พยายามทำทุกวันให้ดีที่สุด<br>แล้วมีความสุขกับมันก็พอแล้วเนอะ"""
un_020170_0010#1,"""うーっす、こんにちは。"""
un_020170_0020#1,"""いやー、戦場の空気ってのは<br>格別だねえ。たまんないよ。<br>面倒なことを忘れさせてくれる。"""
un_020170_0030#1,"""ほら、最近ごたごたしてるじゃん？<br>あっちこっちで疑心が<br>渦巻いてるんだよねえ。"""
un_020170_0040#1,"""正義だの悪だのと語りはじめる<br>自称評論家が一番面倒かな。"""
un_020170_0050#1,"""正義だ悪だなんて語っても<br>結論なんか出るわけないんだし<br>皆、やることやってりゃいいのに。"""
un_020170_0060#1,"""正義なんてものは人それぞれ。<br>悪の定義だって人それぞれ。"""
un_020170_0070#1,"""目くじら立てて他人を<br>否定する暇があるのなら<br>自分を高めることに費やすべきだよ。"""
un_020170_0080#1,"""といっても、そういうことを<br>表立って語るには、わたしは<br>まだちょっと実力不足かな？"""
un_020170_0090#1,"""まっ、ぐだぐだ考えずに<br>日々努力に研鑽に、のほうが<br>気持ちいいよね、きっと。"""
