st_056070_0010#0,"""舞台は移り、クエント西方に位置する<br>神国エピック。"""
st_056070_0020#0,"""過酷な砂漠の最中に存在する<br>巨大なオアシスを中心に、作られた<br>ただ一つの、絶対的な神を信仰する国。"""
st_056070_0030#0,"""エピック神王マルガレータは<br>隣国クエントにおける一連の騒動と<br>その顛末報告をつまらなそうに聞いていた。"""
st_056070_0040#0,"""……と、斯様な状況にありまして<br>クエントの国威は増していくものと……"""
st_056070_0050#0,"""もういいわあ。<br>要するに、クエントがヴェルンを倒して<br>内乱も抑え込んだってだけでしょう？"""
st_056070_0060#0,"""……さすが、ご理解が早い。<br>その通りでございます、神王様。"""
st_056070_0070#0,"""付け加えるならば、各国に向けて<br>エフィメラの破棄条約締結の願書も<br>届いておりますが……"""
st_056070_0080#0,"""エフィメラ？\u3000ああ、あの不気味花。<br>あんなのどうでもいいけどさー。"""
st_056070_0090#0,"""……あーあ、まったく<br>気にいらないわねえ。"""
st_056070_0100#0,"""気に入らない、といいますと？"""
st_056070_0110#0,"""クエントばっかりずるいじゃない？<br>国の歴史が長いからってさあ。<br>剣の巫女とか守護輝士とか出てきてさあ。"""
st_056070_0120#0,"""ウチにちょっとぐらいわけてくれても<br>誰も文句言わないと思うのよ、ねえ？<br>こーんな砂漠しかない場所なんだしさあ。"""
st_056070_0130#0,"""ウチなんか神様よ神様！<br>ぜーんぶ神様が解決しちゃってるし！<br>そういうことになっちゃうし！"""
st_056070_0140#0,"""エンターテイメントが必要よ！\u3000うん！<br>国の危機を救う守護輝士とアタシの活躍！<br>みたいな、スカッとするやつが！"""
st_056070_0150#0,"""はは、仰るとおりです。<br>では、その守護輝士を<br>喚びだしてみてはいかがでしょう？"""
st_056070_0160#0,"""喚び出す？<br>そんなことできるの？"""
st_056070_0170#0,"""かのクエントにおわす<br>守護輝士は異世界より来訪したとのこと。"""
st_056070_0180#0,"""神王マルガレータ様の御力をもってすれば<br>必ずやそれに準ずる存在が来るはずです。"""
st_056070_0190#0,"""……ふうん。<br>それ、結構おもしろそうね。"""
st_056070_0200#0,"""アナタ、いいアイデア出すじゃない。<br>やっぱり前のつまらないヤツから<br>変えて正解だったわねえ。"""
st_056070_0210#0,"""もったいないお言葉。<br>では、早速準備を始めましょう。"""
skit01#0,"""The Apprentices"""
skit02#0,"""砂漠に喚ばれし【若人】たち"""
name01#0,"""神官"""
name02#0,"""？？？"""
