un_065040_0010#0,"""あらあらあら。<br>あなたがこの惑星の神子様ですかあ？"""
un_065040_0020#0,"""リサは神子様を撃ったことが<br>まだありません。ですからですから<br>撃たせてもらえませんかあ？"""
un_065040_0030#0,"""はあ……これはまた<br>とんでもない客人だのう。"""
un_065040_0040#0,"""おい、<%me>。<br>見舞いに来たのか、わらわを困らせに<br>来たのか、どっちじゃ。"""
un_065040_0050#0,"""やめなさいリサ、失礼でしょう！<br>大変申し訳ありません。<br>リサがとんだご無礼を……"""
un_065040_0060#0,"""突然喧嘩を売ってきたかと思えば<br>今度は平謝りとは、まったくもって<br>理不尽よのう。ほれ、説明せい。"""
un_065040_0070#0,"""なるほど。話はわかった。"""
un_065040_0080#0,"""しかし結界のことであれば<br>すでに、シャオにすべて伝えておる。<br>そなたらが知る以上のことはないぞ？"""
un_065040_0090#0,"""それでも構いません。<br>人づてに聞くよりも直接伺うことで<br>知り得ることがあるかもしれません。"""
un_065040_0100#0,"""とにかく今、出来ることは<br>すべてやっておきたいのです。"""
un_065040_0110#0,"""ハリエットの言う通りですねえ。<br>やってやりすぎることはありませんし。"""
un_065040_0120#0,"""なにより、この程度の<br>労力を惜しんで失敗する方が<br>リサ的にはありえません。"""
un_065040_0130#0,"""やれやれ……難儀じゃな。<br>ま、話してやってもよいが……<br>その代わり、条件がある。"""
un_065040_0140#0,"""はい……なんなりと。"""
un_065040_0150#0,"""……すべてが終わったら<br>仔細を聞かせてもらえぬか？"""
un_065040_0160#0,"""そうじゃ、茶会を開こう。<br>花でも見ながら、ゆっくりとな。"""
un_065040_0170#0,"""お茶には興味ありません。<br>それよりもリサは、神子様を撃つ方が<br>とってもとっても興味あります。"""
un_065040_0180#0,"""かかっ、そなたの片割れはぶれぬのう。<br>では茶会の余興を楽しみにせよ。"""
un_065040_0190#0,"""さすが神子様、話がわかりますねえ。<br>楽しみですよお。ふふっ、ふふふっ。"""
un_065040_0200#0,"""スクナヒメ様、あまり不用意なことは<br>仰らない方がいいと思います……"""
un_065040_0210#0,"""リサは本気でスクナヒメ様を<br>撃つつもりですので……"""
un_065040_0220#0,"""かかっ！\u3000わらわは神子じゃ。<br>そう簡単に撃たれるつもりはないわ。<br>それよりも、そなたはどうじゃ？"""
un_065040_0230#0,"""この戦いから、生きて帰り……<br>わらわに、土産話のひとつでも<br>聞かせてくれるんじゃろうな？"""
un_065040_0240#0,"""……わかりました。<br>その条件、お受けします。"""
un_065040_0250#0,"""かならず、生きて帰り……<br>お茶会に参加させていただきます。"""
un_065040_0260#0,"""うむ。忘れるでないぞ？"""
un_065040_0270#0,"""リサに撃たせてくれる約束も<br>絶対絶対、忘れないでくださいねえ。"""
un_065040_0280#0,"""ま、忘れてても撃ちますけどね。<br>ふふっ。ふふふっ。"""
un_065040_0290#0,"""わかったわかった！<br>……そなたこそ、生きて帰ったら<br>忘れず茶会に参加せよ。よいな。"""
un_065040_0300#0,"""では、結界について<br>一から話させてもらうかのう……"""
