PSEWTrial_PaTechniqueBuff#0,"""<yellow>PA/テクニック威力上昇<c>"""
PSEWTrial_ArsenalModuleDamageBuff#0,"""<yellow>M.A.R.S.攻撃威力上昇/自然回復量増加<c>"""
PSEWTrial_WeakPointDamageBuff#0,"""<yellow>弱点部位への威力上昇<c>"""
PSEWTrial_OverRecoveryBuff#0,"""<yellow>レスタサイン使用後に10秒間能力上昇<c>"""
PSEWTrial_GlideAttackBuff#0,"""<yellow>ダイブアタック威力上昇<c>"""
PSEWTrial_PbGaugeBuff#0,"""<yellow>フォトンブラストゲージ蓄積量増加<c>"""
PSEWTrial_DodgeQuickAttackBuff#0,"""<yellow>攻撃無効化成功時に10秒間攻撃速度上昇<c>"""
PSEWTrial_CriticalBuff#0,"""<yellow>クリティカル率上昇/発生時に追加ダメージ<c>"""
PSEWTrial_RangeDamageBuff#0,"""<yellow>一定間隔ごとに自動的に追加攻撃発生<c>"""
PSEWTrial_Makai_StepShotBuff#0,"""<yellow>ステップ発動時に追加攻撃発生<c>"""
PSEWTrial_Makai_StepCounterBuff#0,"""<yellow>ステップ時カウンター発生可能/威力上昇<c>"""
