st_054065_0010#0,"""この国のだいたいの地理と<br>情勢は把握しました。"""
st_054065_0020#0,"""長く続く内戦の状況……<br>おそらく、ヴェルンの皇帝が<br>エフィメラの影響を受けています。"""
st_054065_0030#0,"""逆に言えば、皇帝を止めれば<br>なんとかなるかもしれません。<br>行きましょう。"""
st_054065_0040#0,"""おい、守護輝士とやら。<br>挨拶もなしに、どこ行くつもりだ？"""
st_054065_0050#0,"""皇帝野郎をぶっ潰すつもりなら<br>……オレも連れて行け。"""
st_054065_0060#0,"""私もご一緒させてください。"""
st_054065_0070#0,"""貴方をこの国に誘ったのは私です。<br>道案内も出来ますし、いざとなれば<br>弾よけにだってなりますから。"""
st_054065_0080#0,"""……言って聞く感じの顔<br>してないですね。<br>どうします、<%me>さん？"""
st_054065_0090#0,"""１．自分の身は自分で守れ"""
st_054065_0100#0,"""２．勝手にするといい"""
st_054065_0110#0,"""ハッ、上等だ！"""
st_054065_0120#0,"""それでは、お言葉に甘えて<br>勝手に道案内と弾よけの役割に<br>つかせてもらいますね。"""
