ssc_504010_0010#0,"""やあ、キミかい。"""
ssc_504010_0020#0,"""日々、頑張ってくれているね。<br>いつもありがとう。"""
ssc_504010_0030#0,"""大したことはやっていない。"""
ssc_504010_0040#0,"""クロフォードのほうこそ。"""
ssc_504010_0050#0,"""いやいや、キミたちの活躍は、<br>十分に大したことあるよ。"""
ssc_504010_0060#0,"""いやいや、僕は。<br>キミたちに助けられてばかりだから。"""
ssc_504010_0070#0,"""ちょうど今、キミたちの<br>活動記録を見させてもらっていたんだ。"""
ssc_504010_0080#0,"""これは、マノン君がまとめたもの。"""
ssc_504010_0090#0,"""無駄なく、漏れなく、完璧なレポートだ。"""
ssc_504010_0100#0,"""マノンがそんなことを？"""
ssc_504010_0110#0,"""自分もなにか書いたほうがいいかな？"""
ssc_504010_0120#0,"""マノン君は、<br>ちょくちょく送ってきてくれるね。"""
ssc_504010_0130#0,"""独自の考察もあって、<br>目を見張るものがある。"""
ssc_504010_0140#0,"""いつも、とても助かっているよ。"""
ssc_504010_0150#0,"""いや、気が向いたときで大丈夫だよ。"""
ssc_504010_0160#0,"""アイナ君も、何度か送ってきてくれているけど、<br>だいぶ時間をかけているみたいだし。"""
ssc_504010_0170#0,"""こうしたレポートも、<br>ふだんはランたちが丁寧に整理してくれているからね。"""
ssc_504010_0180#0,"""僕自身はやることがない。<br>のんびりと、お茶でも飲みながら待っているだけ。"""
ssc_504010_0190#0,"""外は外で、ドールズとの戦いは、<br>ブルーダーがよく指揮してくれている。"""
ssc_504010_0200#0,"""最近は、ランたちオペレーターとの連携も、<br>だいぶとれてきた。"""
ssc_504010_0210#0,"""……まあ、昔はだいぶ苦労したんだけどね。"""
ssc_504010_0220#0,"""それに、今はキミたちもいる。"""
ssc_504010_0230#0,"""最終的には、僕はそこの椅子に<br>座っているだけの人になるかもね。フフフ。"""
ssc_504010_0240#0,"""……でも、<br>今の状態が常に維持されるという保証はどこにもない。"""
ssc_504010_0250#0,"""どこか一ヶ所でもほころびができて、<br>そこから一気に瓦解するなんてこともね。"""
ssc_504010_0260#0,"""そうならないように、<br>第二、第三のプランを練っておくのが、僕の仕事かな。"""
ssc_504010_0270#0,"""そもそも、そのほころびができないようにするのもね。"""
ssc_504010_0280#0,"""このセントラルシティのリーダーとしての役割は、<br>きちんと果たすつもりだから、そこは安心してほしい。"""
ssc_504010_0290#0,"""さてと、ランからなにか頼まれていた気がするから、<br>僕も仕事に戻ろうかな。"""
ssc_504010_0300#0,"""あっ、そうそう。"""
ssc_504010_0310#0,"""もしよかったら、<br>また顔を見せに来てくれるかな。"""
ssc_504010_0320#0,"""キミの状況も、<br>聞かせてほしいし。"""
ssc_504010_0330#0,"""それじゃ、待ってるからね。"""
