text100#0,"""เกี่ยวกับ [DailyOrder]"""
text101#0,"""ข้อมูลเกี่ยวกับ [DailyOrder]<br><br>DailyOrder นั้น จะเปลี่ยนไปเรื่อยๆตามแต่ละวัน<br><br>ไม่เหมือนกับ ClientOrder ที่คุณรับได้จากตัวละครต่างๆ<br>มีบางครั้งที่คุณอาจได้รับของรางวัลระหว่างที่กำลังดำเนินภารกิจ<br>และยังสามารถรับได้รับของรางวัลอีกครั้งเมื่อสามารถทำภารกิจได้สมบูรณ์อีกด้วย"""
text102#0,"""หากเป้าหมายภารกิจเป็นการหาของ คุณสามารถเลือกว่าจะส่งกี่ชิ้นก็ได้<br>หากยิ่งหาของมาส่งได้มากเท่าไหร่ จำนวนรางวัลที่คุณจะได้รับก็มีโอกาสที่จะได้เพิ่มจากปกติ<br><br>แต่หากคุณเลือกจบเควสท์ไปแล้วครั้งหนึ่ง <br>คุณจะไม่สามารถนำของมาส่งได้อีกจนกว่าจะเริ่มเควสท์ใหม่อีกครั้ง<br>กรุณาคิดให้รอบคอบก่อนนะคะ"""
text100#1,"""『デイリーオーダー』について"""
text101#1,"""デイリーオーダーについて説明します。<br><br>デイリーオーダーは受注できるものが毎日変わります。<br><br>他のキャラクターから受注するクライアントオーダーと違って<br>目標の進行途中でも報告可能なオーダーもあります。<br>それらの場合、報告時の達成度に応じた報酬を受け取ることができます。"""
text102#1,"""アイテムの調達が目標の場合、報告時に提出する個数を選べます。<br>提出した個数に合わせて、報酬が増加します。<br><br>ただし、一度報告してしまうと次に受注するまで<br>報告はできなくなるので、ご注意ください。"""
Npc49_01_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
Npc49_01_020#0,"""มารับทุกวันยิ่งดีนะคะ !<br>ถ้าทำยังงั้นได้ ชั้นจะยิ่งดีใจม้ากมากเลยค่ะ !"""
Npc49_01_030#0,"""แต่ว่า คุณต้องเก่งกว่านี้อีกหน่อยนะคะ <br>ถึงจะรับเควสท์ได้ จะรอนะค้า !"""
Npc49_01_010#1,"""デイリーオーダーとは<br>その名の通り、日替わりで内容が<br>変化する依頼のことですよ！"""
Npc49_01_020#1,"""毎日来るといいと思います！<br>そのほうが、わたしもうれしいですし！"""
Npc49_01_030#1,"""でも、もう少し経験を積んでから<br>来てもらえますか！"""
Npc49_02_010#0,"""DailyOrder ก็คือเควสท์ที่เปลี่ยนไปเรื่อยๆตามแต่<br>ละวันตามชื่อนั่นแหละค่า !"""
