st_058130_0010#0,"""いやあ、お見事、お見事。<br>完全にしてやられたよ、センパイ。"""
st_058130_0020#0,"""ここでなら、誰のバックアップも<br>受けられないと思ってたんだけど……<br>想像以上に、慕われてたみたいだね？"""
st_058130_0030#0,"""この虚構の世界の人々だけじゃない。<br>あのダークファルスの素体の連中とも<br>仲良しこよしになっちゃって、サ。"""
st_058130_0040#0,"""ハリエットは何処だ？"""
st_058130_0050#0,"""ハリエットを返せ"""
st_058130_0060#0,"""ハリエット？<br>ふふっ、ハリエットなら<br>君の目の前にいるじゃないか。"""
st_058130_0070#0,"""この黒い繭が、ハリエットさん……？"""
st_058130_0080#0,"""あれは、【深遠なる闇】の器。<br>いついかなる歴史においてもそう。<br>だからこの世界においても、同じ。"""
st_058130_0090#0,"""どれだけ崇高な使命を抱こうとも<br>どれだけ民に慕われる存在になろうとも<br>最終的には世界を滅ぼすものに収束する。"""
st_058130_0100#0,"""それが生贄の子、ハリエットに<br>定められた記録、サ。<br>変えられぬ運命と言ってもいい。"""
st_058130_0110#0,"""……わかるかな、センパイ？<br>あれを救い出すなんて、無駄だよ。<br>せいぜいできて、殺すことだろうね。"""
st_058130_0120#0,"""それならセンパイ、得意だろう？<br>センパイがセンパイになった理由も<br>そんな感じだったもんねえ。はははっ！"""
st_058130_0130#0,"""絶対に助ける"""
st_058130_0140#0,"""言いたいことはそれだけか？"""
st_058130_0150#0,"""馬鹿の一つ覚えみたいに<br>どいつもこいつも助ける助ける……<br>それができなかったんだろうが！"""
st_058130_0160#0,"""誰かを犠牲に生き残る選択をした！<br>過去もそうだ、現在もそうだ！<br>……そして未来も、必ずそうなる！"""
st_058130_0170#0,"""滅ぶべきなんだよ！<br>今ここで、このまま！<br>ぜーんぶゼロにしてしまえ！"""
st_058130_0180#0,"""センパイも……【仮面】も<br>それを望んでいるんだろう！？"""
st_058130_0190#0,"""お前が【仮面】を語るな"""
st_058130_0200#0,"""お前は【仮面】じゃない"""
st_058130_0210#0,"""……黙れよセンパイ！<br>僕は……誰よりも、ダークファルスだ！"""
st_058130_0220#0,"""原初より始まり、未来まで紡がれる<br>守護輝士の記録！<br>ここで、塗り潰してやる！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
