name01#0,"""Oza"""
name01#1,"""オーザ"""
text01#0,"""โอ้ ดูเหมือนจะเริ่มฝึกการใช้ Wired Lance แล้วซินะ"""
text02#0,"""ถ้าเป็น Hunter แล้วล่ะก็ถึงแม้จะมีข้อจำกัด<br>หรือสิ่งที่ไม่สามารถหาเหตุผลได้ <br>ก็จะพยายามจนก้าวข้ามไปได้แน่นอน"""
text03#0,"""Wired Lance"""
text04#0,"""เมื่อท่านได้เรียนการใช้ Wired Lance Gear <br>จะมีแถบ Gear เพิ่มขึ้นมาที่ด้านบนของ Weapon Palette<br><br>แถบ Gear จะเพิ่มขึ้นตามจำนวนครั้งที่โจมตีใส่ศัตรูด้วย Wired Lance"""
text05#0,"""แถบ Gear สามารถเพิ่มขึ้นสูงสุดได้สามแถบซึ่งจะลดลงหนึ่งแถบทุกครั้ง<br>ที่ใช้ Ensnaring Photon Move และ Photon Move ที่ใช้แถบ Gear จะรุนแรงกว่าปกติ<br><br>แถบ Gear นี้จะไม่ลดลงตามเวลาที่ผ่านไป"""
text01#1,"""おっ、ワイヤードランスの練習<br>始めるみたいだな。"""
text02#1,"""ハンターなら、ある程度の無理や無茶も<br>なんとかなる、頑張ってこいよ。"""
text03#1,"""『ワイヤードランス』について"""
text04#1,"""ワイヤードランスのギアシステムについて、説明します。<br><br>スキル「ワイヤードランスギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ワイヤードランスの通常攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text05#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br>ホールド系フォトンアーツを使用するとゲージを１つ分消費します。<br>ギアゲージを消費して放つフォトンアーツは、威力が増大されます。<br><br>時間経過によるギアゲージの減少はありません。"""
