name01#0,"""艾塔妮"""
text01#0,"""蓋印完成。<br>辛苦了。"""
11_voice_shop_414#0,"""下一個課題是<br><c bb0000>進行手工製作者搜尋<c>。"""
text03#0,"""手工製作者搜尋<br>可以透過通訊裝置來進行。"""
text04#0,"""不只在個人小屋，<br>也可以經由大廳的通訊裝置<br>來執行。"""
text05#0,"""在個人小屋達成目標時<br>由於要幫您蓋上印章，<br>還請前往ARKS大廳。"""
name01#1,"""アスタルテ"""
text01#1,"""押印完了しました。<br>お疲れ様でした。"""
11_voice_shop_414#1,"""次の課題は<br><c bb0000>クラフター検索を行う<c>事です。"""
text03#1,"""クラフター検索は<br>ビジフォンから行う事ができます。"""
text04#1,"""マイルームだけでなく、<br>ロビーのビジフォンからも<br>実行可能です。"""
text05#1,"""マイルームで目標を達成した場合<br>スタンプを押しますので<br>アークスロビーまでお越しください。"""
