msc_014030_0010#0,"""やっぱりここにいたんだ！"""
msc_014030_0020#0,"""ふたりとも……、<br>どうしたの？"""
msc_014030_0030#0,"""え、えっと……、<br>どう言っていいかわかんないんだけど……。"""
msc_014030_0040#0,"""マノン……もしかして何か悩んでることとか……、<br>あったりしない？"""
msc_014030_0050#0,"""いいえ……。<br>少し……考えていたの。"""
msc_014030_0060#0,"""ロストセントラルではダークファルスについて<br>色々知ることができたわ……。"""
msc_014030_0070#0,"""前よりももっと進化し、強くなっている相手と<br>私たちは戦わなければいけない……。"""
msc_014030_0080#0,"""そう……だね。"""
msc_014030_0090#0,"""でも、大丈夫だよ！<br>みんなの力を合わせれば！"""
msc_014030_0100#0,"""そうね……アイナは本当に強くなった。<br>前にここで悩んでいた時とは、もう別人だわ。"""
msc_014030_0110#0,"""もちろん、あなたも。<br>それでも……。"""
msc_014030_0120#0,"""ダークファルスと戦えば……、<br>多くの犠牲が出ることは避けられない……。"""
msc_014030_0130#0,"""私は……これ以上戦火が広がっていくことが<br>……怖い。"""
msc_014030_0140#0,"""マノンは優しいね……。"""
msc_014030_0150#0,"""いいえ、私は……。"""
msc_014030_0160#0,"""セントラルシティにて待機中の<br>アークスに通達。"""
msc_014030_0170#0,"""クロフォードからの緊急招集。<br>速やかに集合のこと……以上。"""
msc_014030_0180#0,"""……行きましょう。"""
msc_014030_0190#0,"""……あ。<br>マノン……。"""
