name_7002#0,"""アイナ"""
name_7015#0,"""メリ"""
name_7034#0,"""ルーシア"""
msn_041120_0010#0,"""来てくれたのね、<%me>。<br>アイナとマノンも。"""
msn_041120_0020#0,"""あなたが、ルーシアね？<br>わたしはメリ。よろしくね。"""
msn_041120_0030#0,"""……うん。よろしく。"""
msn_041120_0040#0,"""久しぶり、メリ。今日は、他のみんなはいないの？"""
msn_041120_0050#0,"""ええ。兄たちは、それぞれにやることがあって出かけてるわ。"""
msn_041120_0060#0,"""イルマも、気になることがあるって言って、<br>何日か前から外に出たままなの。"""
msn_041120_0070#0,"""ごめんね。せっかく来てくれたのに。"""
msn_041120_0080#0,"""気にしないで。"""
msn_041120_0090#0,"""メリに会えただけでもよかった。"""
msn_041120_0100#0,"""そう言ってくれると助かるわ。<br>ありがとう、<%me>。"""
msn_041120_0110#0,"""ふふっ、ありがとう。<br>わたしも、久しぶりにあなたたちと会えてよかったわ。"""
msn_041120_0120#0,"""ねえ、あなた……メリ、だっけ。<br>ひとつ、聞いてもいい？"""
msn_041120_0130#0,"""えっ？\u3000何かしら。"""
msn_041120_0140#0,"""……こんな、きれいだけど、少し寂しい場所で。<br>どうしてあなたは、ひとりでこの家にいるの？"""
msn_041120_0150#0,"""お兄さんたちは、みんな外に出てるんでしょ？\u3000あなたも……<br>どこか遠くへ行っちゃおうって、思ったことはないの？"""
msn_041120_0160#0,"""そうね……。<br>言われてみると、あまり考えたことがなかったかも。"""
msn_041120_0170#0,"""たぶん、ここが、<br>わたしたち家族が生まれ育った場所だから、かな。"""
msn_041120_0180#0,"""みんなが帰りたいって思った時に、帰って来られるようにしておきたい。<br>だから、わたしがこの家を守ろうって、自然と思ってた。"""
msn_041120_0190#0,"""……帰って来られる場所……。"""
msn_041120_0200#0,"""どうかしら？\u3000この答えで、役に立った？"""
msn_041120_0210#0,"""うん。まだ、良くわからないけど……。"""
msn_041120_0220#0,"""そういう場所があるのって、ちょっと……いいな、って思った。"""
