text00#0,"""何が知りたいのかな？"""
text10#0,"""サモナーの戦闘について知りたい！"""
text20#0,"""サモナーの育成について知りたい！"""
text30#0,"""ペットの特徴について知りたい！"""
text50#0,"""この場を離れる"""
text11#0,"""ペットを呼び出したい！"""
text12#0,"""ペットがダメージを受けた！"""
text13#0,"""ペットが気絶しちゃった！"""
text14#0,"""戻る"""
text21#0,"""ペットのレベルを上げたい！"""
text22#0,"""ペットのレアリティ進化って？"""
text23#0,"""ペットのレベルが１００になったら？"""
text24#0,"""キャンディーボックスって何？"""
text25#0,"""ペットごとのオススメセットって？"""
text26#0,"""キャンディーボックスにセット出来ない場所がある！"""
text27#0,"""キャンディーボックスで使えるアイテムが知りたい！"""
text28#0,"""キャンディーを小さくしたい！"""
text29#0,"""ペットの属性値の上限は？"""
text31#0,"""ペットの性格って？"""
text32#0,"""マロンとメロンの特徴"""
text33#0,"""ヴィオラの特徴"""
text34#0,"""シンクロウの特徴"""
text35#0,"""レアリティ進化でペットの形態を変える！"""
text36#0,"""レドランの特徴"""
Title#0,"""ペットを呼び出したい！"""
text01#0,"""・ペットの登録<br>「エッグ」はアイテムとして<yellow>「使う」<c><br>ことでペットを新規に登録できます。<br><br>・武器パレットへのセット<br>ペットを戦闘で呼び出せるようにするには、<br>装備メニューで武器「タクト」を装備し、<br>「通常攻撃/PA/テクニック」欄の左から順に<br>\u3000<yellow>・好きなペット（ペット一覧から選択可能）<c><br>\u3000・そのペット用のＰＡ（技）<br><br>をセットしておきます。<br>ペット装備時にマグは姿を隠していますが、<br>効果は全て通常通りに受けることができます。"""
Title#1,"""ペットのレベルを上げたい！"""
text01#1,"""ペットは、あまったエッグを<br>「エッグ合成」することで経験値を得て、<br>成長（レベルアップ）します。<br><br>エッグに「プラス値」が<br>付いている場合、合成した際に<br>経験値とは別にペットのパラメーターに<br>「プラス値」分の能力が付与されます。<br>「プラス値」の上限はペット毎に異なります。<br><br>プレイヤーと違って、エネミーを倒しても<br>経験値は得られませんのでご注意ください。"""
text02#0,"""<yellow>「エッグ合成」は連続５回まで可能です。<c><br>この「合成可能数」を使い切ると、<br>しばらくの間、合成できなくなります。<br><br>合成可能数は、時間経過で１つずつ回復<br>しますが、SGを消費して一気に回復させる<br>こともできます。<br><br>SGで回復した場合、エッグ合成時に<br>得られる経験値にボーナスがつきます。"""
Title#2,"""キャンディーボックスって何？"""
text01#2,"""「キャンディーボックス」は、<br>いろいろな効果をもつ「キャンディー」を<br>セットして、<yellow>ペットを強くするものです。<c><br><br>ペットは、それぞれ個別の<br>キャンディーボックスを<br>持っています。<br><br>エネミーを倒していろいろなキャンディーを<br>手に入れ、ペットをカスタマイズしましょう！"""
text02#1,"""「キャンディー」はペットを強化するための<br>アイテム類の総称です。キャンディーは種類に<br>応じてセットの上限数が決まっています。<br>■上限数1個<br>・ラムネ\u3000・クレープ<br><br>■上限数2個<br>・パフェ\u3000・ロール\u3000・パンケーキ<br><br>■上限数3個\u3000\u3000■上限数4個<br>・クッキー\u3000\u3000\u3000\u3000\u3000・アメ<br><br>■上限数5個\u3000\u3000■上限数20個<br>・サンド\u3000\u3000\u3000\u3000\u3000\u3000\u3000・グミ"""
text03#0,"""一度セットしたキャンディーは<br>そのままではアイテムパックに戻せません。<br><br>「キャンディーリムーバー」で<br>取り外すことや<br>「キャンディーイレイサー」で<br>削除することができます。<br><br>取り外したキャンディーは<br>アイテムパックに戻りますが<br><yellow>削除したキャンディーは消滅します。<c><br>ご注意ください。"""
text00#1,"""ペットごとのオススメセットって？"""
text01#3,"""<yellow>●「ワンダ」の特徴<c><br><br>\u3000ワンダは、扱いやすいバランス型の<br>\u3000ペットです。<br><br>＜ワンダ向けのキャンディー例＞<br>・「ふんばりロール」<br>\u3000（HPが半分以下になると被ダメージ減）<br>\u3000<br>・「へんかんロール」<br>\u3000（防御のステータスを攻撃に変換）<br><br>・「ボディサンド」<br>\u3000（防御ステータス上昇）"""
text02#2,"""<yellow>●「トリム」の特徴<c><br><br>\u3000トリムは、強力な攻撃力を持つ<br>\u3000アタック型のペットです。<br><br>＜トリム向けのキャンディー例＞<br>・「メガトンパフェ」<br>\u3000（ボスに対してダメージ上昇）<br>\u3000<br>・「がむしゃらパフェ」<br>\u3000（PAの消費PPと威力が上昇）<br><br>・「１段パンケーキ」<br>\u3000（ペットの属性値が上昇）"""
text03#1,"""<yellow>●「サリィ」の特徴<c><br><br>\u3000サリィは、遠距離からの範囲攻撃や<br>\u3000補助が得意なサポート型のペットです。<br><br>＜サリィ向けのキャンディー例＞<br>・「はりきりパフェ」<br>\u3000（通常攻撃のダメージ上昇）<br>\u3000<br>・「みがわりロール」<br>\u3000（アルターエゴ発動中、PAの消費PP減）<br><br>・「スピリタクッキー」<br>\u3000（最大PP上昇）"""
Title#3,"""ペットのレベルが１００になったら？"""
text01#4,"""ピエトロに「限界突破」を依頼すると、<br>レベル100まで育てたペットでも<br>さらにレベルを上げることができます。<br><br><yellow>限界突破したペットを育てるには<br>レアリティの高いエッグを<br>合成する必要があります。<br><c>"""
Title#4,"""ペットがダメージを受けた！"""
text01#5,"""ペットにもHPがあり、<br>ペットがダメージを受けると減少します。<br><br>HPがゼロになったペットは、<br>しばらく戦闘不能になってしまいます。<br><br>ペットのHPが減ったら、<br>別のペットに切り替えて休ませるか、<br>サブパレットから回復テクニックの<br>「レスタ」をかけてあげましょう。"""
Title#5,"""キャンディーボックスで使えるアイテムが知りたい！"""
text01#6,"""キャンディーボックス専用の消費アイテムには<br>以下のものがあります。<br>■キャンディーイレイサー<br>セットしたキャンディーを削除します。<br>ペットラボの「ペットグッズショップ」で<br>入手できます。<br><br>■キャンディーリムーバー<br>キャンディーをアイテムパックに戻せます。<br>「リサイクルショップ」で入手できます。<br><br>■キャラメルクラッシャー<br>キャラメルキューブを削除します。<br>「エクスキューブ交換ショップ」で<br>入手できます。"""
Title#6,"""ペットが気絶しちゃった！"""
