ssc_508050_0010#0,"""うん、“ルシエラン”から聞いたんだ。<br>間違いないと思うよ。"""
ssc_508050_0020#0,"""そうだったのか……。"""
ssc_508050_0030#0,"""やあ。"""
ssc_508050_0040#0,"""あっ、そうだ。<br>キミにも、聞いてもらったほうがいいかも。"""
ssc_508050_0050#0,"""少し時間ある？"""
ssc_508050_0060#0,"""大丈夫。"""
ssc_508050_0070#0,"""今はちょっと。"""
ssc_508050_0080#0,"""うん、わかった。"""
ssc_508050_0090#0,"""まあ、そう言わずに。"""
ssc_508050_0100#0,"""そんなに、かからないからさ。"""
ssc_508050_0110#0,"""ブルーダーには、<br>ちょっと繰り返しになっちゃうね。"""
ssc_508050_0120#0,"""問題ない。"""
ssc_508050_0130#0,"""……で、話っていうのはドールズのこと。"""
ssc_508050_0140#0,"""キミも気づいてると思うけど、<br>ドールズとスターレスは類似点が多い。"""
ssc_508050_0150#0,"""見た目や動き、ほかにも色々と。"""
ssc_508050_0160#0,"""例えば、キミたちがレゾルの森で戦ったのは、<br>ナグルスやペダスに似てたみたいだね。"""
ssc_508050_0170#0,"""まあ、それも当然でね。"""
ssc_508050_0180#0,"""ドールズはスターレスを<br>模して作られたらしいんだ。"""
ssc_508050_0190#0,"""……つまり、やつらは仮想敵だったんだよ。<br>スターレスと戦うためのね。"""
ssc_508050_0200#0,"""……まさか、<br>そんなことになっていたとはな。"""
ssc_508050_0210#0,"""まあでも、それを言ったら、<br>このハルファのすべてが、そうだからね……。"""
ssc_508050_0220#0,"""草原や湿原、森林や山地……。"""
ssc_508050_0230#0,"""どれも人工的なものなんだよ。"""
ssc_508050_0240#0,"""いろんな惑星をモデルにしたらしいね。"""
ssc_508050_0250#0,"""その特徴的な生態系を組み合わせたんだってさ。"""
ssc_508050_0260#0,"""スターレスとの、<br>あらゆる戦いを想定してね。"""
ssc_508050_0270#0,"""建物なんかも、もちろん同じ。"""
ssc_508050_0280#0,"""例えば、トレイニアとか。"""
ssc_508050_0290#0,"""あれはやっぱり、訓練施設だったんだよ。"""
ssc_508050_0300#0,"""僕たちは、ドールズと戦うために利用してたけど。"""
ssc_508050_0310#0,"""でも実は、対スターレスのために<br>力をつけていた……ってわけ。"""
ssc_508050_0320#0,"""……むぅ。"""
ssc_508050_0330#0,"""私たちは、<br>完全にゼフェットの手の平の上で……。"""
ssc_508050_0340#0,"""まあ、だからこそ、<br>ハルファを再調査する必要があるんだよ。"""
ssc_508050_0350#0,"""……うむ、そうだな。"""
ssc_508050_0360#0,"""そこまで計算されて、<br>作られているのであれば……。"""
ssc_508050_0370#0,"""スターレスに対抗する糸口が、<br>どこかに眠っているかもしれない。"""
