un_055200_0010#0,"""やあ、マイフレンド！<br>相変わらず子供達を愛しているかい？"""
un_055200_0020#0,"""ああ、みなまで言わずともわかるよ！<br>あふれんばかりの愛情が<br>君の身体から伝わってきているからね！"""
un_055200_0030#0,"""ヘンゼルとグレーテルも感じ取ったようだ！<br>撫でられたそうな目で君を見ている！"""
un_055200_0040#0,"""あっ！<br>おーい！"""
un_055200_0050#0,"""よう！<br>ストラトスが世話になってるな！<br>結構筋が良いだろう、あいつは！"""
un_055200_0060#0,"""この人を頼りすぎ。<br>新創設クラスの面倒ぐらい<br>自分たちで見なさいよ、まったく。"""
un_055200_0070#0,"""あーっ！\u3000それペットってやつだろ！<br>私、初めて見るぞ！\u3000すごいな！"""
un_055200_0080#0,"""はははははっ、はしゃぐなクラリスクレイス！<br>かくいうオレも、このタイプのは<br>初めて見るがな！"""
un_055200_0090#0,"""戦闘部の司令と次席が<br>サモナーのこと知らないって<br>それでいいの……？"""
un_055200_0100#0,"""ヘンゼルとグレーテルに興味があるのかい？<br>この子達は穏やかで人が好きな子だからね！<br>いくらでも触れてみると良いよ！"""
un_055200_0110#0,"""そうか、ヘンゼル、というのか！<br>ふわふわしてて気持ちいいな！"""
un_055200_0120#0,"""フォトンの具現生物、と聞いたが<br>なかなかどうしてこれは……！"""
un_055200_0130#0,"""ね、ねえ。<br>あのペットって、触りすぎると<br>まずいやつじゃなかった？"""
un_055200_0140#0,"""止めよう"""
un_055200_0150#0,"""逃げよう"""
un_055200_0160#0,"""二人とも！\u3000ストップだよ！"""
un_055200_0170#0,"""愛情が足りないよ、愛情が！<br>それじゃあこの子達は満足しないよ！"""
un_055200_0180#0,"""子供への愛情はこうやって示すんだ！<br>めいっぱい、ぎゅうっと、力強く！"""
un_055200_0190#0,"""さあ、ヘンゼル！<br>僕の愛情を受け取ってくれーッ！"""
un_055200_0200#0,"""ぶばあっ！"""
un_055200_0210#0,"""シップ内リミッターを<br>ものともせずに爆発した！？<br>すごいんだな、愛情というのは！"""
un_055200_0220#0,"""……死んでないわよね、あの人。"""
un_055200_0230#0,"""……ふ、ふはは、はははははっ！<br>相変わらず熱烈な愛情表現だね、ヘンゼル！<br>数秒意識が飛んでしまうほどだったよー！"""
un_055200_0240#0,"""だけどその想い、僕は受け止めるよーッ！"""
un_055200_0250#0,"""ああ、グレーテル！<br>君も寂しくなっちゃったんだね！<br>大丈夫、僕の愛は皆に等しく、だよーッ！"""
un_055200_0260#0,"""ぶげあっ！？"""
un_055200_0270#0,"""なるほど、サモナーには<br>相応のタフネスも必要と見た！<br>なかなか奥の深いクラスじゃあないか！"""
un_055200_0280#0,"""あれは自業自得じゃないかしら……"""
name01#0,"""？？？"""
name02#0,"""？？？"""
