un_020150_0010#0,"""......唉呀呀，你好。<br>好危險好危險，<br>差一點就射出去了呢。"""
un_020150_0020#0,"""你看你看，這是全新準備的<br>武器種類：強弓。<br>我也能使用這種武器。"""
un_020150_0030#0,"""射程嘛，還算可以吧？<br>還可進行拋射，是相當奇特的武器。"""
un_020150_0040#0,"""明明就有突擊步槍，<br>怎麼還特地弄個徒手作業的......<br>你可千萬別這麼想。"""
un_020150_0050#0,"""要拉開強弓，<br>需要的不是超卓的技術，<br>而是配合呼吸的強韌心志。"""
un_020150_0060#0,"""光子是意志之力。<br>意志或是思緒可以注入物體之內呢。"""
un_020150_0070#0,"""想像成在拉開弓時<br>將光子充填進去就對囉。"""
un_020150_0080#0,"""再來，只要內心不動搖，<br>箭矢就不會偏了。"""
un_020150_0090#0,"""如果射不中目標，<br>表示你的心中還有迷惘。"""
un_020150_0100#0,"""......沒有啦。<br>雖然講得好像很了不起，<br>但我仍是技能未精。"""
un_020150_0110#0,"""差到有可能不小心<br>瞄準到自己人呢。"""
un_020150_0010#1,"""……おっとと、こんにちは。<br>危ない危ない、あやうく<br>撃っちゃうところだったよ。"""
un_020150_0020#1,"""これこれ、新しく用意された<br>武器種、バレットボウ。<br>わたし、こっちも使ってるんだ。"""
un_020150_0030#1,"""射程はまあ、それなりかな？<br>放物射撃もできるユニークな武器だよ。"""
un_020150_0040#1,"""アサルトライフルあるのに<br>どうしてわざわざ手作業で……<br>とか、思うなかれ。"""
un_020150_0050#1,"""バレットボウの扱いに<br>必要なのは、卓越した技術よりも<br>呼吸をあわせる強い心。"""
un_020150_0060#1,"""フォトンは意志の力。<br>意志や思いは物にこもるんだよ。"""
un_020150_0070#1,"""こう、弓を引き絞っている時に<br>フォトンを込めるイメージかな。"""
un_020150_0080#1,"""あとは、心に動揺がなければ<br>矢が的を外すことはないよ。"""
un_020150_0090#1,"""目標に当たらないのであれば<br>それは、心に迷いがあるからだ。"""
un_020150_0100#1,"""……なーんてね。<br>偉そうなこと言ってみたけど<br>わたしもまだまだ未熟者だよ。"""
un_020150_0110#1,"""間違えて、味方狙いそうに<br>なっちゃうぐらいだからね。"""
