msc_011350_0010#0,"""正如通知的那樣，在雷佐爾森林裡……"""
msc_011350_0020#0,"""偵測到了大型DOLLS的反應。"""
msc_011350_0030#0,"""根據過去的記錄來看，<br>可以認為是“艾亞利奧屠滅龍”出現了。"""
msc_011350_0040#0,"""對，就是那個艾亞利奧屠滅龍。"""
msc_011350_5010#0,"""“艾亞利奧屠滅龍”？不會吧，難不成那家伙……是那個“艾亞利奧屠滅龍”？"""
msc_011350_0050#0,"""艾亞利奧屠滅龍最後一次出現<br>大概是在10年前……"""
msc_011350_0060#0,"""那次出現，使全艾亞利奧地區都遭受了巨大的損失，<br>而這次是那之後的第一次。"""
msc_011350_0070#0,"""……"""
msc_011350_0080#0,"""去雷佐爾森林偵察的布魯達隊，<br>就在剛才失去了聯絡。"""
msc_011350_5020#0,"""欸！？布魯達他！？"""
msc_011350_0100#0,"""更糟糕的是，在艾亞利奧屠滅龍出現的同時<br>各地都相繼出現了DOLLS。"""
msc_011350_0110#0,"""而目前的狀況，就是為了討伐這些DOLLS，<br>我們不得不將擁有戰力的ARKS們，分散開來作戰。"""
msc_011350_0120#0,"""特別是對雷佐爾森林的探索，<br>會是個很危險的任務。"""
msc_011350_0130#0,"""因此，我想先招募一下志願者。"""
msc_011350_0140#0,"""讓我們去吧。"""
msc_011350_0150#0,"""這樣你們不就連續參加作戰了嗎？<br>沒問題嗎？"""
msc_011350_0160#0,"""恩。"""
msc_011350_0170#0,"""……三個人一起的話，應該沒問題？"""
msc_011350_0180#0,"""是嗎。謝謝你。"""
msc_011350_0190#0,"""艾亞利奧屠滅龍是個強敵。<br>還請你們避開單獨的交戰，直接去搜索布魯達隊。"""
msc_011350_0200#0,"""明白了。"""
msc_011350_0210#0,"""還有其他志願者嗎……？"""
msc_011350_0220#0,"""謝謝大家。<br>那就拜托你們了。"""
