un_020620_0010#0,"""D-arkers จะกระชั้นก็ไม่ใช่เรื่องใหญ่อะไร!<br>ในที่สุดเราก็มาถึงดาวดวงใหม่แล้ว!<br>และชื่อของมันก็คือ Wopal เชิญดูสิค้า!"""
un_020620_0020#0,"""น้ำเสียงการเชิญชวนแบบนั้นมันอะไรกันน่ะ?<br>อ๊ะ สวัสดีค่ะ Tia ค่ะ"""
un_020620_0030#0,"""แหม และแล้วก็มาถึงกันจนได้นะ ดาวดวงใหม่!"""
un_020620_0040#0,"""แทนที่จะเรียกว่ามีแต่น้ำ มันให้ความรู้สึก<br>อย่างกับว่าตัวดาวจมน้ำอยู่เลยนะ!"""
un_020620_0050#0,"""เป็นดาวที่มีโครงสร้างที่แปลกจริงๆ นี่ก็เป็น<br>เพราะผลกระทบของ...... D-arkers หรือเปล่านะ?"""
un_020620_0060#0,"""ใช่แล้วๆ พูดถึง D-arkers<br>ก็ทำให้ชั้นนึกขึ้นมาได้<br>......เราปล่อย Dark Falz ไว้แบบนั้นจะดีเหรอ?"""
un_020620_0070#0,"""ยังไงคำสั่งในฐานะ ARKS ก็ลงมาแล้ว<br>เมื่อถึงเวลาฉุกเฉินจริงๆ ก็คงโดนเรียกแหละ<br>เป็นการเรียงความสำคัญก่อนหลังล่ะมั้ง?"""
un_020620_0080#0,"""ตอนนี้เค้าน่าจะสนใจว่าทำไมดาวดวงนี้<br>ถึงมีสัญญาณขอความช่วยเหลือส่งมา<br>หา ARKS มากกว่าล่ะมั้ง"""
un_020620_0090#0,"""อ๊า ใช่ๆ นั่นสินะ<br>ทำไมที่นี่แบบนี้ถึงมีสัญญาณขอ<br>ความช่วยเหลือส่งออกมานะ?"""
un_020620_0100#0,"""......อย่างกับว่าเหตุการณ์แบบนี้<br>น่าจะเคยเกิดขึ้นที่ Naberius เหมือนกัน"""
un_020620_0110#0,"""ใช่ เพราะฉะนั้น เพื่อที่จะทำการสำรวจ<br>จึงไม่ได้ออกคำสั่งลงมาแค่ส่วนหนึ่งแต่เป็น<br>กับ ARKS ทั้งหมด"""
un_020620_0120#0,"""อืม ยังไงก็ยังอยู่ระหว่างการสำรวจอยู่เลย<br>แถมศัตรูก็ดูท่าว่าจะดุร้ายซะด้วย<br>เธอเองก็ระมัดระวังตัวด้วยนะ!"""
un_020620_0010#1,"""迫るダーカーなんのその！<br>やってきました新惑星！<br>その名もウォパル、ご覧あれ！"""
un_020620_0020#1,"""その調子のきかせ方は何？<br>あ、どうも、ティアです。"""
un_020620_0030#1,"""いやー、来ちゃったね新惑星！"""
un_020620_0040#1,"""水だらけ、というか惑星自体<br>水没しちゃってる感じー！"""
un_020620_0050#1,"""不思議な組成の惑星だね。<br>これもダーカーの影響……なのかな？"""
un_020620_0060#1,"""そうそう、ダーカーで<br>思い出したんだけど<br>……ダークファルスほっといていいの？"""
un_020620_0070#1,"""一応、アークスとして命令が下ってるし<br>緊急事態には呼び出されるだろうから<br>優先度は並列ってところかな？"""
un_020620_0080#1,"""この惑星から、なぜかアークス向けの<br>救難信号が出ていたらしいし<br>そっちも気になるってことでしょ。"""
un_020620_0090#1,"""あー、そうそうそうだよねー。<br>どうしてこんなところから<br>救難信号来たんだろ？"""
un_020620_0100#1,"""……なんかこの流れ<br>ナベリウスのときにもあったような。"""
un_020620_0110#1,"""うん。だから、その調査のために<br>今度は一部だけじゃなく、全アークスに<br>出撃命令が下ってるんじゃない。"""
un_020620_0120#1,"""まー、まだまだ調査中だし<br>エネミーも凶暴みたいだからさ<br>あなたも気をつけてね！"""
