name_7429#0,"""クリストバル"""
ssn_014700_0001#0,"""この過酷な環境を生きぬくのは、<br>並大抵のことではない。"""
ssn_014700_0002#0,"""皆で協力しあい、<br>乗りきっていこうじゃないか。"""
ssn_014700_0101#0,"""クヴァリス先遣隊のキャンプにようこそ。<br>俺が部隊を率いる、クリストバルだ。"""
ssn_014700_0102#0,"""お前さんのことは連絡を受けている。<br>大したもてなしはできないが、施設は自由に使ってくれ。"""
ssn_014700_0103#0,"""その代わりというわけではないが、<br>俺もお前さんに、協力をお願いしたい。"""
ssn_014700_0104#0,"""俺たちの任務を手伝ってはくれないか？"""
ssn_014700_0201#0,"""凶暴なエネミーを野放しにしておけば、<br>それだけ危険が増してしまう。"""
ssn_014700_0202#0,"""エネミーを発見したら、速やかに討伐してくれ。<br>頼んだぞ。"""
ssn_014700_0301#0,"""そうか……であれば、せめてゆっくり休んでいってくれ。<br>出て行けなどとは言わんから、安心しろ。"""
ssn_014700_0401#0,"""良い働きぶりだったぞ。<br>なかなか腕の立つアークスのようだな。"""
ssn_014700_0402#0,"""俺たちはこの地を調査するために派遣された、<br>エアリオとリテムの共同部隊なんだ。"""
ssn_014700_0403#0,"""まだ結成して間もない、急造チームでな。<br>おかげで常に人手不足に悩まされている。"""
ssn_014700_0404#0,"""お前さんのように優秀なアークスがいてくれるのは、<br>こちらとしても心強い限りだ。"""
ssn_014700_0405#0,"""もし、うちの隊員たちが助けを求めているときは、<br>お前さんの力を貸してやってくれないか？"""
ssn_014700_0406#0,"""俺たちも、この地については知らないことばかりだ。<br>持ちつ持たれつでやっていこうじゃないか。"""
ssn_014700_0407#0,"""さっきも言ったが、キャンプはいつでも解放している。<br>自由に使ってくれ。"""
ssn_014700_0408#0,"""これからも、よろしく頼む。"""
ssn_014700_1001#0,"""おう、調子はどうだ。<br>クヴァリスの環境には、もう慣れたか？"""
ssn_014700_1002#0,"""俺たちも調査活動を進めているところだ。<br>良かったら、お前さんも参加してみる気はないか？"""
ssn_014700_1003#0,"""いつもと違う感覚で、クヴァリスを探索するのも、<br>良い気分転換になるかもしれんぞ。"""
ssn_014700_1004#0,"""俺たちの任務を知ってもらうのにも、<br>丁度いい機会だしな。"""
ssn_014700_1101#0,"""採取と言っても、これで案外コツがいるんだ。<br>お前さんの実力を見させてもらうぞ。"""
ssn_014700_1102#0,"""採取してほしいものと、その生息場所はマグに送っておいた。<br>では、頼んだぞ。"""
ssn_014700_1201#0,"""どうやら忙しいようだな。<br>また別の機会に、声をかけさせてもらおう。"""
