ssc_012010_5010#0,"""もうこんな時間だ。"""
ssc_012010_0010#0,"""よく来てくれた。"""
ssc_012010_0020#0,"""おかげで演奏会の準備は整った。"""
ssc_012010_0030#0,"""あとは本番を待つだけだ。"""
ssc_012010_0040#0,"""人がいっぱいだね！"""
ssc_012010_0050#0,"""お前たちも来てくれたか。"""
ssc_012010_0060#0,"""もちろんだよ。<br>ナーデレフの歌が聴けるんだもん。"""
ssc_012010_0070#0,"""それに今回は楽団の演奏つきだものね。<br>楽しみだわ。"""
ssc_012010_0080#0,"""今日は皆、精一杯演奏する。<br>楽しんでほしい。"""
ssc_012010_0090#0,"""……だが、まだこの辺りで<br>ドールズが目撃されているのだ。"""
ssc_012010_0100#0,"""もしもの時は、共に会場を守ってくれないか。"""
ssc_012010_0110#0,"""うん、わかった！"""
ssc_012010_0120#0,"""では、そろそろ時間だ。"""
ssc_012010_5020#0,"""ひゅー、ナーデレフ！"""
ssc_012010_0130#0,"""皆の者、今日はよく集まってくれた。"""
ssc_012010_0140#0,"""この演奏会の趣旨はすでに<br>伝えてあるとおりだ。"""
ssc_012010_0150#0,"""皆ももちろん知っている通り、<br>このリテムでは音楽が栄えていた。"""
ssc_012010_0160#0,"""これから音楽の文化を<br>復興させていきたいと思っている。"""
ssc_012010_0170#0,"""今日の演奏会は、そのための第一歩だ。<br>復興を盛り上げていくための良い機会にしたい。"""
ssc_012010_0180#0,"""と言っても、堅苦しいことはなしだ。<br>気楽に楽しんでいってくれ。"""
ssc_012010_5030#0,"""おおー、いいぞー"""
ssc_012010_5040#0,"""なんだ、なんだっ!?"""
ssc_012010_0190#0,"""レヌスだと……！？"""
ssc_012010_0200#0,"""でも、前に戦ったのとは違う……！？"""
ssc_012010_0210#0,"""別のタイプね。<br>攻撃性能が異なる可能性があるわ。気をつけて。"""
ssc_012010_0220#0,"""ハーディ、あいつは我々が引き受ける！<br>お前たちは皆の安全確保を頼む。"""
ssc_012010_0230#0,"""わかった！"""
