name_7403#0,"""リーディア"""
ssn_015190_0001#0,"""新しくいらっしゃった“星渡り”さんですね。<br>立ち寄っていただいて、ありがとうございます。"""
ssn_015190_0002#0,"""でも、ごめんなさい。<br>あいにく、今準備中なんです。"""
ssn_015190_0003#0,"""また後でいらしてくださいね。<br>お待ちしています。"""
ssn_015190_0101#0,"""よくお越しくださいました。<br>私は、アークス上級情報支援員のリーディアと申します。"""
ssn_015190_0102#0,"""アークスの皆さんに快適に過ごしていただけるよう、<br>役立つ情報をご提供します。"""
ssn_015190_0103#0,"""なにか聞きたいことはございますか？"""
ssn_015190_0201#0,"""ショップでは、さまざまなアイテムをご用意しています。"""
ssn_015190_0202#0,"""ぜひ一度、覗いてみてくださいね。"""
ssn_015190_0301#0,"""またのお越しをお待ちしています。"""
ssn_015190_0401#0,"""アークスの皆さんに快適に過ごしていただけるよう、<br>役立つ情報をご提供します。"""
ssn_015190_0402#0,"""わからないことがあれば、<br>またいつでもお立ち寄りくださいね。"""
npc_menu_0001#0,"""タスクを受注する"""
npc_menu_0002#0,"""“ショップ（メインメニュー）”について聞く"""
npc_menu_0003#0,"""メニューを閉じる"""
npc_menu_0004#0,"""“ショップ”について"""
npc_menu_0005#0,"""“AC・SGショップ”について"""
npc_menu_0006#0,"""“アイテムリサイクル”について"""
npc_menu_0007#0,"""“トレジャーショップ（SG）”について"""
npc_menu_0008#0,"""“トレジャーショップ（N-メセタ）”について"""
npc_menu_0009#0,"""聞きたいことはない"""
npc_menu_0010#0,"""“スクラッチを引く”について"""
npc_menu_0011#0,"""その他のアドバイスを聞く"""
npc_menu_0012#0,"""“アークスカード”について"""
npc_menu_0013#0,"""“ミッションパス”について"""
npc_menu_0014#0,"""“ゲームガイド”について"""
npc_menu_0015#0,"""“コーデカタログ”について"""
npc_menu_0016#0,"""“スタンプ”について"""
npc_menu_0017#0,"""“ポータブルホログラム”について"""
npc_menu_0018#0,"""“素材倉庫”について"""
npc_menu_0019#0,"""“ほしい物リスト”について"""
